author_repo,wf_contents,security_policy
justjavac/free-programming-books-zh_CN,,
Alamofire/Alamofire,Alamofire CI' 'active' '187593' 'Alamofire CI' 'active' '105919' 'pages-build-deployment' 'active' '17574691,
serhii-londar/open-source-mac-os-apps,Generate Readme' 'active' '13260206' 'Check PR' 'active' '13261223,
dkhamsing/open-source-ios-apps,Pull Request' 'active' '12048942' 'Ruby' 'active' '892058' 'Update Metadata' 'active' '12571765,
iina/iina,CI' 'active' '5616494,
xitu/gold-miner,生成文章目录' 'active' '5304291' 'Mark stale issues' 'active' '10925994' 'Translator Application' 'active' '7773391,
shadowsocks/ShadowsocksX-NG,CI' 'active' '187869' 'CI' 'active' '245796,
appwrite/appwrite,CodeQL' 'active' '2516502' 'Linter' 'active' '27213809' 'PHPStan' 'active' '13000028' 'PHPStan' 'active' '13723648' 'Tests' 'active' '13749469,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' '  ' 'x  ' 'x   ' 'x   ' 'x   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'For security issues kindly email us at securityappwriteio instead of posting' 'a public issue in GitHub
kodecocodes/swift-algorithm-club,pages-build-deployment' 'active' '38768367,
SDWebImage/SDWebImage,SDWebImage CI' 'active' '14006624,
airbnb/lottie-ios,CI' 'active' '16022557' 'Close stale issues' 'active' '31285758,Do not open issues or pull requests  this makes the problem immediately' 'visible to everyone including malicious actors Please report potential' 'security issues in this project through the Airbnb Bug Bounty program' 'httpshackeronecomairbnb' 'Airbnbs team will triage and address all valid issues You may be eligible for' 'a bounty if the report is valid under our program
ReactiveX/RxSwift,RxSwift Specs' 'active' '2882616' 'RxSwift' 'active' '2640784,
matteocrippa/awesome-swift,PR Approved' 'active' '10976597' 'PullRequest Check' 'active' '10976609,
vapor/vapor,test' 'active' '225524' 'deploy-api-docs' 'active' '1549283' 'issue-to-project-board-workflow' 'active' '20879359' 'Generate Sponsors README' 'active' '38756605' 'test' 'active' '7080,SSuuppppoorrtteedd VVeerrssiioonnss' 'Use this section to tell people about which versions of your project are' 'currently being supported with security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' 'xx   ' ' x   ' 'PPrriivvaattee DDiisscclloossuurree PPrroocceessss' 'The Vapor Core Team ask that known and suspected vulnerabilities be privately' 'and responsibly disclosed by emailing securityvaporcodes or message one of' 'the Core team on Discord with the all the required detail' 'DDoo nnoott ffiillee aa ppuubblliicc iissssuuee' 'WWhheenn ttoo rreeppoorrtt aa vvuullnneerraabbiilliittyy' '     You think you have discovered a potential security vulnerability in a' '      Vapor package' '     You are unsure how a vulnerability affects a Vapor package' 'WWhhaatt hhaappppeennss nneexxtt' '     A member of the team will acknowledge receipt of the report within ' '      working days This may include a request for additional information about' '      reproducing the vulnerability' '     We will privately inform the Swift Server Work Group SSWG of the' '      vulnerability within  days of the report as per their security' '      guidelines' '     Once we have identified a fix we may ask you to validate it We aim to do' '      this within  days In some cases this may not be possible for example' '      when the vulnerability exists at the protocol level and the industry must' '      coordinate on the disclosure process' '     If a CVE number is required one will be requested through the GitHub' '      security advisory process providing you with full credit for the' '      discovery' '     We will decide on a planned release date and let you know when it is' '     Prior to release we will inform major dependents that a securityrelated' '      patch is impending' '     Once the fix has been released we will publish a security advisory on' '      GitHub and in the Server  Security Updates category on the Swift forums
NativeScript/NativeScript,@nativescript/core -> npm' 'active' '4556236' '@nativescript/types -> npm' 'active' '4556237' '@nativescript/webpack -> npm' 'active' '4556238' 'tns-core-modules -> npm' 'active' '5216937' 'apps/automated' 'active' '5577118,
SwiftyJSON/SwiftyJSON,,
