author_repo,wf_contents,security_policy
neovim/neovim,CI' 'active' '3822072' 'Release' 'active' '4054572' 'vim-patches' 'active' '8558280' 'Pull Request Labeler' 'active' '9148610' 'Autogenerate API docs' 'active' '9793006' 'Backport' 'active' '10260821' 'Request reviews' 'active' '19675244' 'Missing API docs' 'active' '22282362' 'Remove reviewers' 'active' '23032145' 'Close stale issues and PRs' 'active' '39165855' 'news.txt check' 'active' '41071741' 'Commit Linter' 'active' '41953701' 'Remove reviewers' 'active' '41954233' 'Request reviews' 'active' '41954234' 'CodeQL' 'active' '41954235' 'Coverity' 'active' '41954236' 'New feature' 'active' '43665705,neovimsecurityadvisoriesnew
coolsnowwolf/lede,OpenWrt-CI' 'active' '31608' '.github/workflows/build.yml' 'active' '27200637' '.github/workflows/manualBuild.yml' 'active' '27201175,
SpaceVim/SpaceVim,Detach Plugins' 'active' '5854534' 'Async SpaceVim wiki' 'active' '5873720' 'test' 'active' '5853598' 'docker' 'active' '12000463' 'reviewdog' 'active' '5853267' 'mirror' 'active' '12557254' 'pages-build-deployment' 'active' '17012690,
cocos2d/cocos2d-x,CI' 'active' '15872841,
NvChad/NvChad,Close stale issues and PRs' 'active' '9144379,
lionsoul2014/ip2region,,
LunarVim/LunarVim,changelog' 'active' '16251851' 'Close inactive issues' 'active' '36871851' 'Commit Linter' 'active' '12823940' 'format' 'active' '11306498' 'install' 'active' '11306499' 'lint' 'active' '11430965' 'plugins-version-bump' 'active' '21542715' 'Check Spelling' 'active' '36300724' 'update' 'active' '37449461,
spotify/annoy,,
Hammerspoon/hammerspoon,CI' 'active' '3809862' 'Pull Request Label Checker' 'active' '6325515' 'New Tag' 'active' '6620042' 'Development Builds' 'active' '7781939' 'CI Results' 'active' '8404605,
codota/TabNine,,
lk-geimfari/awesomo,,
nvim-telescope/telescope.nvim,Tests' 'active' '4150893' 'Generate docs' 'active' '4717539' 'Linting and style checking' 'active' '4150863,
minetest/minetest,build' 'active' '1000635' 'cpp_lint' 'active' '1073974' 'lua_lint' 'active' '1074016' 'android' 'active' '1370872' 'macos' 'active' '11303998' 'lua_lint' 'active' '23518193,SSuuppppoorrtteedd VVeerrssiioonnss' 'We only support the latest stable version for security issues See the releases' 'page' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'We ask that you report vulnerabilities privately by contacting a core' 'developer to give us time to fix them You can do that by emailing one of the' 'following addresses' '     celerongmailcom' '     rubenwardyminetestnet' 'Depending on severity we will either create a private issue for the' 'vulnerability and release a patch version of Minetest or give you permission' 'to file the issue publicly' 'For more information on the justification of this policy see Responsible' 'Disclosure
