author_repo,wf_contents,security_policy
electron/electron,Only run build when needed' 'active' '127406' 'GitHub Actions' 'active' '15327393' 'Check Semantic Commit' 'active' '24563738' 'Lint' 'active' '25283566' 'Trigger Major Release Dependency Updates' 'active' '26806454' 'Electron WOA Testing' 'active' '31067835' 'Update AppVeyor Image' 'active' '32548657' 'Issue Labeled' 'active' '35433128' 'Close stale issues' 'active' '35978213' 'Scorecards supply-chain security' 'active' '40514209' 'Codespaces Prebuilds' 'active' '41139097,The Electron team and community take security bugs in Electron seriously We' 'appreciate your efforts to responsibly disclose your findings and will make' 'every effort to acknowledge your contributions' 'To report a security issue please use the GitHub Security Advisory Report a' 'Vulnerability tab' 'The Electron team will send a response indicating the next steps in handling' 'your report After the initial reply to your report the security team will' 'keep you informed of the progress towards a fix and full announcement and may' 'ask for additional information or guidance' 'Report security bugs in thirdparty modules to the person or team maintaining' 'the module You can also report a vulnerability through the npm contact form by' 'selecting Im reporting a security vulnerability' 'TThhee EElleeccttrroonn SSeeccuurriittyy NNoottiiffiiccaattiioonn PPrroocceessss' 'For context on Electrons security notification process please see the' 'Notifications section of the Security WGs Membership and Notifications' 'Governance document' 'LLeeaarrnniinngg MMoorree AAbboouutt SSeeccuurriittyy' 'To learn more about securing an Electron application please see the security' 'tutorial
puppeteer/puppeteer,Scorecards supply-chain security' 'active' '19042286' 'Publish' 'active' '27120114' 'Pre-release' 'active' '27202522' 'CI' 'active' '27203653' 'ToT CI' 'active' '27203654' 'pages-build-deployment' 'active' '29135791' 'Documentation Check' 'active' '36893218,
microsoft/playwright,infra' 'active' '551664' 'tests' 'active' '551665' 'publish canary' 'active' '1076497' 'devrelease:npm' 'active' '1874824' 'devrelease:driver' 'active' '4720691' 'Internal Tests' 'active' '5762186' 'test Chrome Beta' 'active' '8748112' 'tests 1' 'active' '8973349' 'tests 2' 'active' '8973382' 'test headful' 'active' '9062616' 'test WebKit' 'active' '9062617' 'tests Android' 'active' '9062618' 'test Edge Stable' 'active' '9062619' 'test Chromium' 'active' '9062620' 'test Chrome Stable' 'active' '9062621' 'test transport' 'active' '9062622' 'electron' 'active' '9062623' 'test Firefox Stable' 'active' '9062624' 'test Firefox' 'active' '9062625' 'tests Video' 'active' '9062626' 'test package installation' 'active' '9062627' 'Chrome Beta Tests' 'active' '9390965' 'CodeQL Analysis' 'active' '9890771' 'Trigger: Chromium with Symbols Builds' 'active' '10425337' 'Docker tests' 'active' '10544222' 'Roll Browser into Playwright' 'active' '12271009' 'tests grid' 'active' '12366907' 'Check PR client side changes' 'active' '12455988' 'Check client side changes' 'active' '12517699' 'publish release - Docker' 'active' '17710558' 'publish release - driver' 'active' '17710559' 'publish release - NPM' 'active' '17710560' 'publish release - TraceViewer' 'active' '17710561' 'tests - embedded doc tests' 'active' '22111480' 'components' 'active' '25451272' 'stress' 'active' '26373695' 'PR: bump driver Node.js' 'active' '30020312' 'Cherry-pick into release branch' 'active' '32138392' 'WebView2 Tests' 'active' '33240915' 'Documentation Checks' 'active' '36859769,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts Microsofts definition of a security' 'vulnerability of a security vulnerability please report it to us as described' 'below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'the Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
FiloSottile/mkcert,Upload Release Asset' 'active' '3744385' 'Test' 'active' '3742736,
iamadamdev/bypass-paywalls-chrome,ci' 'active' '3325127,
jaywcjlove/linux-command,GitHub Actions Build and Deploy linux-command' 'active' '225252' 'CI' 'active' '120438' 'pages-build-deployment' 'active' '16417196,
ovity/octotree,,
segmentio/nightmare,,
checkly/headless-recorder,CodeQL' 'active' '20262817' 'Lint & Build & Test' 'active' '4277318,To report a vulnerability please email securitychecklyhqcom' 'If you believe you have found a security vulnerability in the Checkly Platform' 'or in any of our opensource projects we encourage you to let us know right' 'away' 'We will investigate all legitimate reports and do our best to quickly fix the' 'problem' ' Contact securitychecklyhqcom' ' PreferredLanguages en' ' Canonical httpschecklyhqcomwellknownsecuritytxt' ' Policy httpswwwchecklyhqcomsecuritysecurityresponse' ' Hiring httpschecklyhqcomjobs
google/WebFundamentals,,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
