author_repo,wf_contents,security_policy
phoenixframework/phoenix,CI' 'active' '200932' 'CI' 'active' '809594,
asdf-vm/asdf,Lint' 'active' '9395786' 'Tests' 'active' '9395787' 'Docs' 'active' '11238656' 'Release' 'active' '11238657' 'Lint PR' 'active' '11238658' 'pages-build-deployment' 'active' '16615819' 'On Release' 'active' '30104080,TThhiiss sseeccuurriittyy ppoolliiccyy oonnllyy aapppplliieess ttoo aassddff ccoorree wwhhiicchh iiss tthhee ccooddee ccoonnttaaiinneedd iinn' 'tthhiiss rreeppoossiittoorryy AAllll pplluuggiinnss aarree tthhee rreessppoonnssiibbiilliittyy ooff tthheeiirr ccrreeaattoorrss aanndd aarree' 'nnoott ccoovveerreedd uunnddeerr tthhiiss sseeccuurriittyy ppoolliiccyy' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'Typically only the latest version is maintained Versions are released' 'sequentially with major minor and patch versions incremented as necessary' 'If a vulnerability is found in an old version of asdf updating to the latest' 'version of asdf will be required' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x  ' 'x   ' 'x   ' 'x   ' 'x   ' 'x   ' 'x   ' 'x   ' 'x   ' 'x   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability please contact one of' '     StratusD via email see httpsstratusdcomcontact for email PGP' '      is not setup for this email address' '     danhper via email see httpsdanielperezsh for email and PGP key' '     jthegedus via email see httpsgithubcomjthegedus for email PGP is' '      not setup for this email address
plausible/analytics,Build Private Images' 'active' '33938750' 'Build Public Images' 'active' '34183563' 'Build to staging' 'active' '33651244' 'Elixir CI' 'active' '4573295' 'My build' 'active' '35456066' 'NPM CI' 'active' '14060272' 'Publish Elixir documentation' 'active' '34988166' 'Tracker CI' 'active' '31518311' 'pages-build-deployment' 'active' '34989212,SSuuppppoorrtteedd VVeerrssiioonnss' 'We only add security updates to the latest MAJORMINOR version of the project' 'No security updates are backported to previous versions If you want be up to' 'date on security patches make sure your Plausible image is up to date with' 'plausibleanalyticslatest' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If youve found a security vulnerability with the Plausible codebase you can' 'disclose it responsibly by sending a summary to securityplausibleio We will' 'review the potential threat and fix it as fast as we can' 'While we do not have a bounty program in place yet we are incredibly thankful' 'for people who take the time to share their findings with us Whether its a' 'tiny bug that youve found or a security vulnerability all reports help us to' 'continuously improve Plausible for everyone Thank you
benawad/dogehouse,baklava:build_and_release' 'active' '8714160' 'global:label_pr' 'active' '8714161' 'global:lint_commit_messages' 'active' '8714162' 'kibbeh:lint_and_test' 'active' '8714164' 'kousa:deploy_staging' 'active' '8714165' 'kousa:tests' 'active' '8714166' 'shawarma:deploy_staging' 'active' '8714167' 'kebab:npm_publish' 'active' '8742727' 'dolma:npm_publish' 'active' '8891005' 'globalkey:npm_publish' 'active' '8978708' 'kibbeh:e2e_tests' 'disabled_manually' '8714163,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'DM me on httpstwittercombenawad or httpsdiscordggwCbKBZFcV
lk-geimfari/awesomo,,
oldratlee/translations,,
supabase/realtime,Mirror Image' 'active' '36207174' 'MT Deploy Production' 'active' '39648701' 'MT Staging Formatting Checks' 'active' '40067155' 'MT Staging Formatting Checks' 'active' '40067541' 'MT Supabench' 'active' '40068708' 'MT Deploy Staging' 'active' '40068711' 'MT Production Formatting Checks' 'active' '40097144' 'Build PR Image' 'active' '41968490,
papercups-io/papercups,Papercups' 'active' '3366274' 'Release' 'active' '6388937' 'reviewdog' 'active' '6886695,
rrrene/credo,Compatibility: Elixir' 'active' '410999' 'Compatibility: Phoenix' 'active' '411000' 'CI Tests' 'active' '568417' 'Reproducing Test-Case Detector (experimental)' 'active' '570065' 'Compatibility: Canary Smoke Tests' 'active' '4072542,
christopheradams/elixir_style_guide,,
absinthe-graphql/absinthe,CI' 'active' '3297466,
rusterlium/rustler,CI' 'active' '136562,
elixirschool/elixirschool,Continuous Integration' 'active' '12542995' 'School House Deploy' 'active' '10364136,
ueberauth/guardian,Continuous Integration' 'active' '165867' 'Hexpm Release' 'active' '6373869,SSuuppppoorrtteedd VVeerrssiioonnss' 'EElliixxiirr aanndd EErrllaannggOOTTPP' 'We do our best to follow Elixir Compatibility and Deprecations we are' 'committed to only support the latest version of Elixir' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'You can report a vulnerability by contacting us via Vulnerability Disclosure' 'Discussion
livebook-dev/livebook,Preview (build)' 'active' '41861932' 'Preview (deploy)' 'active' '41886279' 'Deploy' 'active' '41898246' 'Test' 'active' '41898247' 'Test CUDA build' 'active' '42926701,
dependabot/dependabot-core,CI' 'active' '1986355' 'Release gems' 'active' '1989797' 'Push docker images' 'active' '1989798' 'CodeQL' 'active' '21423850' 'Push branch images' 'active' '33784317' 'Smoke' 'active' '33784318' 'Push fork images' 'active' '34646972' 'Codespaces Prebuilds' 'active' '36161152' 'Dependency Review' 'active' '38501330' 'Push latest images' 'active' '40782231' 'CI-Eco' 'active' '43288753' 'Go Smoke' 'active' '43289223' 'Eco branch images' 'active' '43289224,including the open source code repositories managed through our GitHub' 'organizations such as GitHub' 'If you believe you have found a security vulnerability in this GitHubowned' 'open source repository you can report it to us in one of two ways' 'If the vulnerability you have found is nnoott in scope for the GitHub Bug Bounty' 'Program or if you do not wish to be considered for a bounty reward please' 'report the issue to us directly using private vulnerability reporting' 'If the vulnerability you have found is in scope for the GitHub Bug Bounty' 'Program and you would like for your finding to be considered for a bounty' 'reward please submit the vulnerability to us through HackerOne in order to be' 'eligible to receive a bounty award' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'ddiissccuussssiioonnss oorr ppuullll rreeqquueessttss' 'Thanks for helping make GitHub safe for everyone
bitwalker/distillery,,
thechangelog/changelog.com,Dagger' 'active' '16020515' 'Build' ' test & create production container image' 'active' '16024745' 'Prod image' 'active' '16198508' 'Ship It!' 'active' '33234718,
blockscout/blockscout,Blockscout' 'active' '1978444' 'Publish Docker image for specific chain branches' 'active' '23432865' 'Publish Docker image on every push to master branch' 'active' '31504492' 'CodeQL' 'active' '32311886' 'Run E2E tests k8s' 'active' '39398024,vulnerabilities responsibly' 'If you would like to report a vulnerability in one of our products or have' 'security concerns regarding BlockScout software please email' 'securityblockscoutcom' 'In order for us to best respond to your report please include any of the' 'following' '     Steps to reproduce or proofofconcept' '     Any relevant tools including versions used' '     Tool output' 'Bounties for critical issues will be discussed case by case in email' 'conversations
edgurgel/httpoison,CI' 'active' '4135030,
