author_repo,wf_contents,security_policy
mrdoob/three.js,CI' 'active' '932885' 'pages-build-deployment' 'active' '16864367' 'CodeQL' 'active' '41996621,
libgdx/libgdx,Build & test Java code' 'active' '6544308' '.github/workflows/build-natives.yml' 'active' '6561589' 'Build pull request' 'active' '6563421' '.github/workflows/build-snapshot-v2.yml' 'active' '6597617' 'Fix formatting' 'active' '13561638' 'Build and Publish' 'active' '16554232' 'Validate Gradle Wrapper' 'active' '22394542,
pmndrs/react-three-fiber,size' 'active' '6443401' 'Test' 'active' '6497655,
BabylonJS/Babylon.js,continuous-integration' 'active' '197680,
ssloy/tinyrenderer,,
aframevr/aframe,Test Cases' 'active' '32517639' 'pages-build-deployment' 'active' '19247630,
lettier/3d-game-shaders-for-beginners,,
FreeCAD/FreeCAD,CI' 'active' '29925991' 'FCBuildNTest' 'active' '20102662' 'Codespell' 'active' '17235452' 'Labeler' 'active' '17305939,
CesiumGS/cesium,,
metafizzy/zdog,,
timzhang642/3D-Machine-Learning,,
isl-org/Open3D,Windows' 'active' '1442487' 'MacOS' 'active' '1442603' 'Ubuntu' 'active' '1542311' 'Style Check' 'active' '2320616' 'Documentation' 'active' '2333154' 'WebRTC' 'active' '9499733' 'Ubuntu CUDA' 'active' '12397998' 'Ubuntu Wheel' 'active' '14760983' 'Ubuntu OpenBLAS' 'active' '15074063' 'Ubuntu SYCL' 'active' '22088802' 'VTK Packages' 'active' '25333381' 'Clean GCloud Profiles' 'active' '28139599' 'Ubuntu GPU CI (docker)' 'disabled_manually' '2125971' 'Ubuntu OpenBLAS CI' 'disabled_manually' '2771263' 'lint_python.yml' 'disabled_manually' '11891491' 'CUDA CI' 'disabled_manually' '12061418' 'Ubuntu CUDA' 'disabled_manually' '12977225' 'Ubuntu CUDA GCloud CI' 'disabled_manually' '13059330,
blender/blender,,
a1studmuffin/SpaceshipGenerator,,
domlysz/BlenderGIS,,
FyroxEngine/Fyrox,audit' 'active' '13169715' 'CI' 'active' '9415375,
openscad/openscad,CodeQL' 'active' '2809374' 'windows' 'active' '3483708' 'macos-release' 'active' '4666875' 'CGAL Versions' 'active' '5955357' 'linux' 'active' '6086189' 'macos-tests' 'active' '14996056' '.github/workflows/macos-snapshot.yml' 'active' '15017025,
