author_repo,wf_contents,security_policy
angular/angular,Lock closed inactive issues' 'active' '26653' 'Lock closed inactive issues' 'active' '184400' 'Feature request triage bot' 'active' '8857572' 'DevInfra' 'active' '12187232' 'OpenSSF Scorecard' 'active' '19237157' 'Update AIO events' 'active' '34681352' 'Google Internal Tests Enforcement' 'active' '37324833' 'Build AIO app for preview deployment' 'active' '41898350' 'Deploying AIO preview to Firebase' 'active' '42136514' 'DevInfra' 'disabled_manually' '39640272' 'Merge Ready' 'disabled_manually' '43189895,For vulnerabilities in Angular please submit your report here' 'For more information check out Angulars security policy
hoppscotch/hoppscotch,CodeQL analysis' 'active' '1893477' 'Node.js CI' 'active' '10228698' 'Publish Docker image' 'active' '12772436' 'Deploy to Firebase (production)' 'active' '42450958' 'Deploy to Netlify (production)' 'active' '42450959' 'Deploy to Netlify (staging)' 'active' '42450960,This document outlines security procedures and general policies for the' 'Hoppscotch project' '    Reporting a security vulnerability' '    Incident response process' 'RReeppoorrttiinngg aa sseeccuurriittyy vvuullnneerraabbiilliittyy' 'Report security vulnerabilities by emailing the Hoppscotch Support team at' 'supporthoppscotchio' 'The primary security point of contact from Hoppscotch Support team will' 'acknowledge your email within  hours and will send a more detailed response' 'within  hours indicating the next steps in handling your report After the' 'initial reply to your report the security team will endeavor to keep you' 'informed of the progress towards a fix and full announcement and may ask for' 'additional information or guidance' 'DDoo nnoott ccrreeaattee aa GGiittHHuubb iissssuuee ttiicckkeett ttoo rreeppoorrtt aa sseeccuurriittyy vvuullnneerraabbiilliittyy' 'The Hoppscotch team and community take all security vulnerability reports in' 'Hoppscotch seriously Thank you for improving the security of Hoppscotch We' 'appreciate your efforts and responsible disclosure and will make every effort' 'to acknowledge your contributions' 'Report security bugs in thirdparty modules to the person or team maintaining' 'the module' 'IInncciiddeenntt rreessppoonnssee pprroocceessss' 'In case an incident is discovered or reported we will follow the following' 'process to contain respond and remediate' '    Confirm the problem and determine the affected versions' '    Audit code to find any potential similar problems' '    Prepare fixes for all releases still under maintenance These fixes will' '      be deployed as fast as possible to production
ionic-team/ionic-framework,Pull Request Labeler' 'active' '2795988' 'Ionic Framework Build' 'active' '9265489' 'Ionic Dev Build' 'active' '15092567' 'Ionic Production Release' 'active' '16249614' 'Ionic Pre-Release' 'active' '16372890' 'Update Reference Screenshots' 'active' '21085777' 'Ionic Nightly Build' 'active' '24194951' 'CodeQL' 'active' '27864643' 'Stencil Nightly Build' 'active' '40155433' 'Release Ionic' 'active' '40795869,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report security vulnerabilities via email to securityionicio
freeCodeCamp/devdocs,Deploy' 'active' '7270215' 'CodeScan' 'active' '13628356' 'Generate documentation versions report' 'active' '7302597' 'Ruby tests' 'active' '10167482,Our security policy is available here
GoogleChrome/lighthouse,Lighthouse' 'active' '162520' 'CI' 'active' '1093967' 'DevTools' 'active' '1981897' 'Publish nightly' 'active' '4131830' 'Issue assigner' 'active' '5575743' 'Markdown Links Check' 'active' '7955459' 'smoke' 'active' '8610826' 'unit' 'active' '9173096' 'package-test' 'active' '14157104' 'pages-build-deployment' 'active' '17700548,
quasarframework/quasar,CodeQL' 'active' '43117501' 'Process Created Issue' 'active' '17659739' 'UI Tests' 'active' '26109516,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'xx   ' 'x  ' '   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you have found a potential security threat vulnerability or exploit in' 'Quasar or one of its upstream dependencies please DONT create a pullrequest' 'DONT file an issue on GitHub DONT mention it on Discord and DONT create a' 'forum thread' 'DO reach out to the team by sending an email to securityquasardev  we will' 'investigate and work with you to triage this issue and help you to report it if' 'appropriate At the current time we do not have the financial ability to reward' 'bounties but in extreme cases will at our discretion consider a reward' 'SSeeccuurriittyy AAuuddiitt' 'You can apply to book the Quasar teams security experts to perform a Security' 'Audit for your project Contact us to find out more about how to acquire' 'validate and publish an official timestamped and versionlocked audit badge' 'securityquasardev' 'SSeeccuurriittyy DDooccuummeennttaattiioonn' 'httpsquasardevsecurity
qier222/YesPlayMusic,Release' 'active' '4140450,
RobinLinus/snapdrop,,
vuestorefront/vue-storefront,Lint' ' build' ' test' 'active' '3375502' 'Deploy Docs' 'active' '3851802' 'Labeler' 'active' '8420156' 'CI' 'active' '10559517' 'Commitlint PR Title' 'active' '12843081,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please do not publicly disclose potential security vulnerabilities Instead' 'report them to our dedicated email address securityvuestorefrontio Informing' 'us this way will allow us to quickly determine the severity of the problem and' 'provide a fix without putting existing projects at risk' 'If you would like to provide a patch please ddoo nnoott ooppeenn aa ppuullll rreeqquueesstt' 'Instead create a commit on your fork of Vue Storefront and run this command' 'git formatpatch HEADHEAD stdout  patchtxt' 'It will generate a file called patchtxt Please email a description of the' 'patch along with the patch itself to our dedicated email address mentioned' 'above
aws-amplify/amplify-js,Issue Test' 'active' '6283935' 'Lock Threads' 'active' '10304221' '.github/workflows/issue-pending-response.yml' 'active' '37913198' 'pages-build-deployment' 'active' '39663263' 'CodeQL' 'active' '41812106' 'Bundle Size' 'disabled_manually' '4719447,If you discover a potential security issue in this project we ask that you' 'notify AWSAmazon Security via our vulnerability reporting page or directly via' 'email to awssecurityamazoncom Please do nnoott create a public GitHub issue
