author_repo,wf_contents,security_policy
flutter/flutter,coverage' 'active' '36669197' 'Flutter Tools Test' 'active' '28233242' 'Lock Threads' 'active' '11751068' '.github/workflows/mirror.yml' 'active' '25176635' 'No Response' 'active' '11773750' 'Scorecards supply-chain security' 'active' '18726365,SSuuppppoorrtteedd VVeerrssiioonnss' 'We commit to publishing security updates for the version of Flutter currently' 'on the stable branch' 'EExxppeeccttaattiioonnss' 'We treat security reports equivalent to a P priority level This means that we' 'attempt to fix them as quickly as possible We will release a beta or hotfix' 'for any major security report found in the most recent stable version of our' 'SDK' 'Any vulnerability reported for any Flutter websites like flutterdev does not' 'require a release and will be fixed in the website itself' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability please email securityflutterdev with a' 'description of the problem the steps you took to reproduce the problem' 'affected versions and any known mitigations' 'We should reply within three working days probably much sooner' 'We use GitHubs security advisory feature to track open security reports You' 'should expect a close collaboration as we work to resolve the security' 'vulnerability you have reported Please reach out to securityflutterdev again' 'if you do not receive prompt attention and regular updates' 'You may also reach out to the team via our public Discord chat channels' 'however please make sure to email securityflutterdev when reporting a' 'vulnerability and avoid revealing information about vulnerabilities in public' 'if that could put users at risk' 'FFllaaggggiinngg EExxiissttiinngg IIssssuueess aass SSeeccuurriittyyrreellaatteedd' 'If you believe that an existing github issue is securityrelated we ask that' 'you send an email to securityflutterdev The email should include the github' 'issue ID and a short description of why it should be handled according to this' 'security policy' 'Security reports are not tracked explicitly in the github issue database other' 'than via issue ' 'DDiisscclloossuurree PPrroocceessss' 'This section describes the process used by the Flutter team when handling' 'vulnerability reports' 'Vulnerability reports are received via the securityflutterdev email alias' 'Certain team members who have been designated the vulnerability management' 'team receive these emails When receiving such an email one of the' 'vulnerability management team members will' '    Reply to the email acknowledging its receipt ccing securityflutterdev' '      so that the other members of the team are aware that they are handling' '      the security report If the email does not describe an actual' '      vulnerability the process will stop here Unfortunately we do receive' '      spam and wellmeaning but ultimately misguided reports that do not' '      represent issues for which this process is appropriate at this address' '    Triage the report to evaluate its impact and if it is a security' '      vulnerability' '    Collaborate with the appropriate team lead to ensure that an owner is' '      assigned to the report The owner will drive it through the fix and' '      release process' '    Work with the team lead and product manager to determine if this security' '      report requires a security advisory' '    Create a new security advisory if an advisory is required One must be' '      the repo admin to do this Vulnerability management team members who are' '      not also a repo admin will reach out to the repo admins until they find' '      one who can create the advisory The repo admins who are also' '      vulnerability management team members are Hixie and tvolkert' '    Reach out to the reporter to ask them if they would like to be involved' '      and whether they would like to be credited For credit the GitHub' '      security advisory UI has a field that allows contributors to be credited' '    Add the vulnerability reporter relevant team lead and fix owner to the' '      security advisory so that they can get updates' '    If the security issue does not yet have a CVE number as a Googler' '      request one from gocverequest Every security advisory will have a CVE' '      number' '    Reopen Issue  to ensure that security vulnerabilities will be' '      checked during critical triage' '   Work with the release and PR team to coordinate the publication of the' '      security advisory' 'RReecceeiivviinngg sseeccuurriittyy uuppddaatteess' 'The best way to receive security updates is to subscribe to the flutter' 'announce mailing list or updates to the Discord channel We will also announce' 'security advisories in the technical release blog post' 'Flutter does not have a bug bounty program' 'RReeffeerreenncceess' '     If team members need additional help as a Googler they can review Dash' '      Security Playbook' '     For more information on security advisories see the GitHub' '      documentation' 'IIff tteeaamm mmeemmbbeerrss ffrroomm ootthheerr oorrggaanniizzaattiioonnss wwoouulldd lliikkee tthheeiirr tteeaammss ppllaayybbooookk' 'lliisstteedd hheerree ffoorr tthheeiirr rreeffeerreennccee eevveenn iiff iitt iiss nnoott aa ppuubblliicc rreessoouurrccee pplleeaassee' 'ssuubbmmiitt aa PPRR
jlevy/the-art-of-command-line,,
nodejs/node,Python 3 testing' 'active' '23884' 'Python 3 testing' 'active' '131770' 'First commit message adheres to guidelines' 'active' '826635' 'Build Windows' 'active' '858948' 'Linters' 'active' '858949' 'misc' 'active' '858950' 'Test Linux' 'active' '858951' 'Test macOS' 'active' '858952' 'Build from tarball' 'active' '863857' 'Test ASan' 'active' '998450' 'Auto Start CI' 'active' '2064336' 'Commit Queue' 'active' '2195107' 'Close stalled issues and PRs' 'active' '2418842' 'Comment on issues and PRs when labelled stalled' 'active' '2418843' 'Coverage Linux' 'active' '3010817' 'Coverage Windows' 'active' '3028483' 'License update' 'active' '3132906' 'Notify on Force Push' 'active' '4696937' 'coverage-linux-without-intl' 'active' '7233683' 'Label PRs' 'active' '8487903' 'Comment on issues and PRs when labeled' 'active' '8668149' 'Node.js daily job' 'active' '9584860' 'Find inactive collaborators' 'active' '11210537' 'Authors update' 'active' '12466282' 'Test and upload documentation to artifacts' 'active' '12500219' 'Test internet' 'active' '13131410' 'Tools and deps update' 'active' '15053580' 'Find inactive TSC members' 'active' '15496267' 'Close stale feature requests' 'active' '20146142' 'Tests' 'active' '26139603' 'Label Flaky Test Issues' 'active' '31880479' 'Timezone update' 'active' '33825334,RReeppoorrttiinngg aa bbuugg iinn NNooddeejjss' 'Report security bugs in Nodejs via HackerOne' 'Normally your report will be acknowledged within  days and youll receive a' 'more detailed response to your report within  days indicating the next steps' 'in handling your submission These timelines may extend when our triage' 'volunteers are away on holiday particularly at the end of the year' 'After the initial reply to your report the security team will endeavor to keep' 'you informed of the progress being made towards a fix and full announcement' 'and may ask for additional information or guidance surrounding the reported' 'issue' 'NNooddeejjss bbuugg bboouunnttyy pprrooggrraamm' 'The Nodejs project engages in an official bug bounty program for security' 'researchers and responsible public disclosures The program is managed through' 'the HackerOne platform See httpshackeronecomnodejs for further details' 'RReeppoorrttiinngg aa bbuugg iinn aa tthhiirrdd ppaarrttyy mmoodduullee' 'Security bugs in third party modules should be reported to their respective' 'maintainers' 'DDiisscclloossuurree ppoolliiccyy' 'Here is the security disclosure policy for Nodejs' '     The security report is received and is assigned a primary handler This' '      person will coordinate the fix and release process The problem is' '      confirmed and a list of all affected versions is determined Code is' '      audited to find any potential similar problems Fixes are prepared for' '      all releases which are still under maintenance These fixes are not' '      committed to the public repository but rather held locally pending the' '      announcement' '     A suggested embargo date for this vulnerability is chosen and a CVE' '      Common Vulnerabilities and Exposures CVE is requested for the' '      vulnerability' '     On the embargo date the Nodejs security mailing list is sent a copy of' '      the announcement The changes are pushed to the public repository and new' '      builds are deployed to nodejsorg Within  hours of the mailing list' '      being notified a copy of the advisory will be published on the Nodejs' '      blog' '     Typically the embargo date will be set  hours from the time the CVE is' '      issued However this may vary depending on the severity of the bug or' '      difficulty in applying a fix' '     This process can take some time especially when coordination is required' '      with maintainers of other projects Every effort will be made to handle' '      the bug in as timely a manner as possible however its important that' '      we follow the release process above to ensure that the disclosure is' '      handled in a consistent manner' 'TThhee NNooddeejjss tthhrreeaatt mmooddeell' 'In the Nodejs threat model there are trusted elements such as the underlying' 'operating system Vulnerabilities that require the compromise of these trusted' 'elements are outside the scope of the Nodejs threat model' 'For a vulnerability to be eligible for a bug bounty it must be a vulnerability' 'in the context of the Nodejs threat model In other words it cannot assume' 'that a trusted element such as the operating system has been compromised' 'Being able to cause the following through control of the elements that Nodejs' 'does not trust is considered a vulnerability' '     Disclosure or loss of integrity or confidentiality of data protected' '      through the correct use of Nodejs APIs' '     The unavailability of the runtime including the unbounded degradation of' '      its performance' 'If Nodejs loads configuration files or runs code by default without a' 'specific request from the user and this is not documented it is considered a' 'vulnerability Vulnerabilities related to this case may be fixed by a' 'documentation update' 'NNooddeejjss ddooeess NNOOTT ttrruusstt' '    The data from network connections that are created through the use of' '      Nodejs APIs and which is transformedvalidated by Nodejs before being' '      passed to the application This includes' '          o HTTP APIs all flavors client and server APIs' '          o DNS APIs' '    Consumers of data protected through the use of Nodejs APIs for example' '      people who have access to data encrypted through the Nodejs crypto' '      APIs' '    The file content or other IO that is opened for reading or writing by' '      the use of Nodejs APIs ex stdin stdout stderr' 'In other words if the data passing through Nodejs tofrom the application can' 'trigger actions other than those documented for the APIs there is likely a' 'security vulnerability Examples of unwanted actions are polluting globals' 'causing an unrecoverable crash or any other unexpected side effects that can' 'lead to a loss of confidentiality integrity or availability' 'NNooddeejjss ttrruussttss eevveerryytthhiinngg eellssee As some examples this includes' '    The developers and infrastructure that runs it' '    The operating system that Nodejs is running under and its configuration' '      along with anything under control of the operating system' '    The code it is asked to run including JavaScript and native code even if' '      said code is dynamically loaded eg all dependencies installed from the' '      npm registry The code run inherits all the privileges of the execution' '      user' '    Inputs provided to it by the code it is asked to run as it is the' '      responsibility of the application to perform the required input' '      validations' '    Any connection used for inspector debugger protocol regardless of being' '      opened by command line options or Nodejs APIs and regardless of the' '      remote end being on the local machine or remote' '    The file system when requiring a module See httpsnodejsorgapi' '      moduleshtmlalltogether' 'Any unexpected behavior from the data manipulation from Nodejs Internal' 'functions are considered a vulnerability' 'In addition to addressing vulnerabilities based on the above the project works' 'to avoid APIs and internal implementations that make it easy for application' 'code to use the APIs incorrectly in a way that results in vulnerabilities' 'within the application code itself While we dont consider those' 'vulnerabilities in Nodejs itself and will not necessarily issue a CVE we do' 'want them to be reported privately to Nodejs first We often choose to work to' 'improve our APIs based on those reports and issue fixes either in regular or' 'security releases depending on how much of a risk to the community they pose' 'EExxaammpplleess ooff vvuullnneerraattiibbiittiieess' 'IImmpprrooppeerr CCeerrttiiffiiccaattee VVaalliiddaattiioonn CCWWEE' '     Nodejs provides APIs to validate handling of Subject Alternative Names' '      SANs in certficates used to connect to a TLSSSL endpoint If' '      certificates can be crafted which result in incorrect validation by the' '      Nodejs APIs that is considered a vulnerability' 'IInnccoonnssiisstteenntt IInntteerrpprreettaattiioonn ooff HHTTTTPP RReeqquueessttss CCWWEE' '     Nodejs provides APIs to accept http connections Those APIs parse the' '      headers received for a connection and pass them on to the application' '      Bugs in parsing those headers which can result in request smuggling are' '      considered vulnerabilities' 'MMiissssiinngg CCrryyppttooggrraapphhiicc SStteepp CCWWEE' '     Nodejs provides APIs to encrypt data Bugs that would allow an attacker' '      to get the original data without requiring the decryption key are' '      considered vulnerabilities' 'EExxtteerrnnaall CCoonnttrrooll ooff SSyysstteemm oorr CCoonnffiigguurraattiioonn SSeettttiinngg CCWWEE' '     If Nodejs automatically loads a configuration file which is not' '      documented and modification of that configuration can affect the' '      confidentiality of data protected using the Nodejs APIs this is' '      considered a vulnerability' 'EExxaammpplleess ooff nnoonnvvuullnneerraattiibbiittiieess' 'MMaalliicciioouuss TThhiirrddPPaarrttyy MMoodduulleess CCWWEE' '     Code is trusted by Nodejs therefore any scenario that requires a' '      malicious thirdparty module cannot result in a vulnerability in Nodejs' 'PPrroottoottyyppee PPoolllluuttiioonn AAttttaacckkss CCWWEE' '     Nodejs trusts the inputs provided to it by application code It is up to' '      the application to sanitize appropriately therefore any scenario that' '      requires control over user input is not considered a vulnerability' 'UUnnccoonnttrroolllleedd SSeeaarrcchh PPaatthh EElleemmeenntt CCWWEE' '     Nodejs trusts the file system in the environment accessible to it' '      Therefore it is not a vulnerability if it accessesloads files from any' '      path that is accessible to it' 'EExxtteerrnnaall CCoonnttrrooll ooff SSyysstteemm oorr CCoonnffiigguurraattiioonn SSeettttiinngg CCWWEE' '     If Nodejs automatically loads a configuration file which is documented' '      no scenario that requires modification of that configuration file is' '      considered a vulnerability' 'RReecceeiivviinngg sseeccuurriittyy uuppddaatteess' 'Security notifications will be distributed via the following methods' '     httpsgroupsgooglecomgroupnodejssec' '     httpsnodejsorgenblog' 'CCoommmmeennttss oonn tthhiiss ppoolliiccyy' 'If you have suggestions on how this process could be improved please submit a' 'pull request or file an issue to discuss
atom/atom,CI' 'active' '18078961' 'Atom' 'active' '17799719,
jaywcjlove/awesome-mac,GitHub Actions Build and Deploy awesome-mac' 'active' '225195' 'GitHub Actions Build and Deploy awesome-mac' 'active' '39812' 'pages-build-deployment' 'active' '16991520,
alacritty/alacritty,CI' 'active' '3431868' 'Release' 'active' '3431869,
vercel/hyper,CodeQL' 'active' '3876334' 'Comment e2e test screenshots on PR' 'active' '14134059' 'Node CI' 'active' '272846,If you believe you have found a security vulnerability in Nextjs we encourage' 'you to let us know right away' 'We will investigate all legitimate reports and do our best to quickly fix the' 'problem' 'Email responsibledisclosurevercelcom to disclose any security' 'vulnerabilities' 'httpsvercelcomsecurity
FiloSottile/mkcert,Upload Release Asset' 'active' '3744385' 'Test' 'active' '3742736,
sherlock-project/sherlock,Pull Request Action' 'active' '1331359' 'Tests' 'active' '1369105' 'Nightly' 'active' '1369312,
marktext/marktext,Build' 'active' '15719628' 'Release' 'active' '15887329,
