author_repo,wf_contents,security_policy
marktext/marktext,Build' 'active' '15719628' 'Release' 'active' '15887329,
HarisIqbal88/PlotNeuralNet,,
posquit0/Awesome-CV,Azure Static Web Apps CI/CD' 'active' '24008738' 'Integration' 'active' '19283801' 'Compile PDFs' 'active' '15133025' 'Label Pull Requests' 'active' '19283802' 'Sync labels' 'active' '19283803' 'Welcome for First Issue or Pull Request' 'active' '19283804,
KaTeX/KaTeX,CI' 'active' '2183215' 'Screenshotter' 'active' '3632759' 'CodeQL' 'active' '3633029' 'Fonts' 'active' '6656273,
hmemcpy/milewski-ctfp-pdf,Build PDFs' 'active' '1953021,
mathjax/MathJax,,
billryan/resume,,
Wandmalfarbe/pandoc-latex-template,Build Example PDF files' 'active' '15244493,
garrettj403/SciencePlots,,
lervag/vimtex,.github/workflows/main.yml' 'active' '195690' '.github/workflows/jq.yml' 'active' '38306283' 'CI tests' 'active' '75038,
tuna/thuthesis,Test' 'active' '520977' 'Trigger Docker update' 'active' '1805280,
sb2nov/resume,,
retorquere/zotero-better-bibtex,automated tests' 'active' '3525901' 'Manage issues and nag about debug logs' 'active' '3598008' 'Lock Threads' 'active' '5876407' 'pages-build-deployment' 'active' '16568772,
google-research/arxiv-latex-cleaner,Create a GitHub and PyPI release' 'active' '1502353,
Wookai/paper-tips-and-tricks,,
rstudio/bookdown,Build and deploy book' 'active' '3734881' 'R-CMD-check' 'active' '3734882' 'Lock threads' 'active' '3418539' 'pkgdown' 'active' '6141890,
Keldos-Li/typora-latex-theme,Dev Build' 'active' '12737009' 'Release' 'active' '12586118,
luong-komorebi/Begin-Latex-in-minutes,,
JabRef/jabref,Deployment' 'active' '9813' 'Tests' 'active' '9814' 'Refresh Journal Lists' 'active' '48480' 'Cleanup after PR' 'active' '59361' 'Refresh Citation Style Language Files' 'active' '105622' 'Fetcher Tests' 'active' '109227' 'Deployment' 'active' '191482' 'Automerge Pull Requests' 'active' '1738657' '.github/workflows/check-links.yaml' 'active' '1917301' 'Gource' 'active' '4257935' 'Update Gradle Wrapper' 'active' '7280772' 'pages-build-deployment' 'active' '25159026' 'Codespaces Prebuilds' 'active' '36883444' 'Deploy Jekyll site to Pages' 'active' '37453720' 'GreetingFirstTimeCodeContribution' 'active' '38223746' 'Deployment Release for ARM64 - Run manually!' 'active' '43393870' 'Release binaries on GitHub' 'active' '44606439,
saadq/resumake.io,CI' 'active' '29934518,
sjtug/SJTUThesis,Build' 'active' '8399659' 'Release' 'active' '9871451,
IceEnd/Yosoro,,
noraj/OSCP-Exam-Report-Template-Markdown,pages-build-deployment' 'active' '18781562,
lukas-blecher/LaTeX-OCR,pages-build-deployment' 'active' '24120621,
vincentdoerig/latex-css,,
dyweb/awesome-resume-for-chinese,,
