author_repo,wf_contents,security_policy
yuzu-emu/yuzu,yuzu-ci' 'active' '14233941' 'yuzu verify' 'active' '28543803,
copy/v86,main' 'active' '4672387' '.github/workflows/release.yml' 'active' '1094083,
Ryujinx/Ryujinx,Build job' 'active' '59305' 'Comment PR artifacts links' 'active' '6238872' 'Release job' 'active' '18446002,
OpenEmu/OpenEmu,,
ish-app/ish,Deploy Site' 'active' '1719844' 'CI' 'active' '3609925' 'Auto-Label' 'active' '3674008' 'Upload Build' 'active' '4283354' 'Update Repo' 'active' '4380586,The goal of this project is to support a Linux shell on iOS As such its' 'security model assumes that the app is running in another sandbox and is used' 'by a single user The project is focused on compatibility and very little' 'thought has been put into internal security Permissions are only loosely' 'checked Memory corruption in edge cases is common Please do not use iSH for' 'any sort of secure containerization or production use case' 'As such most types of bugs that are security issues in most projects are not' 'security issues in iSH Insufficient permission checks memory corruption and' 'thread safety issues are generally considered correctness bugs and would be' 'best filed as GitHub issues We will prioritize bugs encountered by real' 'programs in typical use' 'In our security model we expect real security bugs to be very rare Its not' 'completely impossible eg a bug allowing remote code execution without user' 'consent would be a security bug If you think you found one you can send it to' 'securityishapp Well work with you to resolve it appropriately
skyline-emu/skyline,CI' 'active' '33458,
ruffle-rs/ruffle,Test Web' 'active' '1313844' 'Test Rust' 'active' '1313849' 'Release Nightly' 'active' '5459550' 'Wiki Changed Discord Notification' 'active' '35784688,
dolphin-emu/dolphin,,
amitshekhariitbhu/Android-Debug-Database,,
citra-emu/citra,citra-ci' 'active' '3562091' 'citra-publish' 'active' '17377750,
felixrieseberg/macintosh.js,Build & Release' 'active' '2018610,
PCSX2/pcsx2,AppImage Build' 'active' '4719141' '🍎 MacOS Builds' 'active' '26084751' '🐧 Linux Builds' 'active' '26084752' '🖥️ Windows Builds' 'active' '26084753' '🏭 Update Controller Database' 'active' '26619036' '📝 Validate GameDB' 'active' '26619037' 'MacOS Build Steps' 'active' '26619039' '📢 Announce Release' 'active' '26619040' '🏭 Create Release' 'active' '26619041' '🏭 Release Pipeline' 'active' '26619042' '🤔 Pull Request Triage' 'active' '26619043' 'Windows Build Steps - Qt' 'active' '26619044' 'Linux Build Steps' 'active' '29607861,
xenia-project/xenia,pages-build-deployment' 'active' '18556619,
unicorn-engine/unicorn,Build UC2' 'active' '13796983' 'PyPI 📦 Distribution' 'active' '13831109' 'Close stale issues and PRs' 'active' '13874385' 'Crate 📦 Distribution' 'active' '14258682,mio at lazymio
bfirsh/jsnes,CI' 'active' '12490689,
budtmo/docker-android,,
Provenance-Emu/Provenance,Assign reviewers based on assignees' 'active' '12851424' 'Add artifact links to pull request and related issues' 'active' '42189717' 'Autosquash' 'active' '254173' 'Build and Upload Provenance' 'active' '12817012' 'CodeSee' 'active' '41342949' '.github/workflows/contributors.yml' 'active' '11778478' 'Danger' 'active' '12031719' 'GreetContributor' 'active' '11778723' 'Automatic Rebase' 'active' '11779560' 'Release-Notes-Preview' 'active' '12165065' 'Swift Lint' 'active' '11778854' 'Automatic Swift Lint Autocorrect' 'active' '11779561' 'Test' 'active' '11779438' '.github/workflows/xcodebuild.yml' 'active' '12093664' 'pages-build-deployment' 'active' '16728914,
mininet/mininet,code-check' 'active' '5248523' 'mininet-tests' 'active' '4235563,
HFO4/gameboy.live,,
stenzek/duckstation,Create rolling release' 'active' '1307515,
amhndu/SimpleNES,lint' 'active' '31923933,
CalebFenton/simplify,,
cemu-project/Cemu,Build Cemu' 'active' '33001479' 'Lint' 'active' '33296869' 'Generate translation template' 'active' '34532868' 'Build check' 'active' '34555033' 'Deploy experimental release' 'active' '34556159' 'Create new release' 'active' '34556160,
qilingframework/qiling,Run tests' 'active' '4593741' 'Docker Image CI' 'active' '1212201' 'sync to gitee' 'active' '2527368' 'PyPI 📦 Distribution' 'active' '1384200,
Baekalfen/PyBoy,PyTest PyBoy' 'active' '11427742' 'pages-build-deployment' 'active' '16501047,
cea-sec/miasm,Miasm regression tests' 'active' '12455780,
jcubic/jquery.terminal,Build and test' 'active' '15966920,
JonathanSalwan/Triton,Docker Image CI' 'active' '1725931' 'Tests on Linux' 'active' '10301948' 'Tests on OSX' 'active' '10341014' 'Test the code coverage' 'active' '16499896' 'Build Python Package' 'active' '29082225' 'Test the VCPKG install' 'active' '29280052,
azerothcore/azerothcore-wotlk,main' 'active' '500010' 'Check pending SQL' 'active' '3104095' 'check-codestyle' 'active' '3460044' 'windows-build' 'active' '8431857' 'macos-build' 'active' '8452428' 'Issue Labeler' 'active' '8648315' 'docker-build' 'active' '8648977' 'core-modules-build' 'active' '10160553' 'import-pending' 'active' '10426759' 'core' 'active' '14986211' 'PR Labeler' 'active' '15113731' 'build-db' 'active' '25405768' 'build-tools' 'active' '25405769' 'build-auth' 'active' '25405770' 'tools' 'active' '26592581' 'Auto Assign to Project(s)' 'active' '38934206' 'CodeQL' 'disabled_manually' '4214461' 'core-build-no-pch' 'disabled_manually' '9301969,SSuuppppoorrtteedd VVeerrssiioonnss' 'We support the following versions of dependencies' '  supported' '  NOT supported' 'unspecified  might work but no guarantee' 'Versions of AzerothCore' 'AAzzeerrootthhCCoorree BBrraanncchh SSuuppppoorrtteedd' 'master             ' 'Versions of MySQL' 'MMyySSQQLL VVeerrssiioonn SSuuppppoorrtteedd' '           ' '           ' ' and lower ' 'Versions of MariaDB' 'MMaarriiaaDDBB VVeerrssiioonn SSuuppppoorrtteedd' '            ' '            ' ' and lower  ' 'Versions of CLang' 'CCLLaanngg VVeerrssiioonn SSuuppppoorrtteedd' '            ' '            ' '            ' ' and lower   ' 'Versions of GCC' 'GGCCCC VVeerrssiioonn SSuuppppoorrtteedd' '          ' '           ' '           ' ' and lower ' 'Versions of Ubuntu' 'UUbbuunnttuu vveerrssiioonn  SSuuppppoorrtteedd' '           ' ' and lower ' 'Versions of macOS' 'mmaaccOOSS VVeerrssiioonn   SSuuppppoorrtteedd' '              ' '              ' ' and lower ' 'NNoottee We do NOT support any repacks that may or may not have been made based on' 'AzerothCore Nor do we support any of the releases that are made under' 'AzerothCore' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'We class a vulnerability to be any hack or exploit that has an impact on the' 'server performance or that gives unfair advantages in the game eg fly hacking' 'or injection tools' 'If a new vulnerability is found you should always create a new bug report
