author_repo,wf_contents,security_policy
jlevy/the-art-of-command-line,,
nvm-sh/nvm,Docker Image CI' 'active' '7397517' 'install script' 'active' '38695963' 'Tests: `nvm install-latest-npm`' 'active' '3762809' 'Tests: linting' 'active' '3762810' 'Node.js CI' 'active' '7397544' 'Automatic Rebase' 'active' '1156612' 'Tests: release process' 'active' '3745038' 'Require “Allow Edits”' 'active' '3436117' 'Tests: shellcheck' 'active' '3697197' 'urchin tests' 'active' '12771595' 'update readme TOC' 'active' '1156497' 'Tests on Windows: `nvm install`' 'active' '4558806,Please email ljharb or see httpstideliftcomsecurity if you have a' 'potential security vulnerability to report
junegunn/fzf,Test fzf on Linux' 'active' '4916903' 'CodeQL' 'active' '5453195' 'Dependency Review' 'active' '26109826' 'Differential ShellCheck' 'active' '33632646' 'Test fzf on macOS' 'disabled_manually' '4916904,
google/zx,Check' 'active' '27391687' 'Dev Publish' 'active' '33463460' 'Publish' 'active' '9182860' 'Test' 'active' '9183711,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
dylanaraps/pure-bash-bible,,
LeCoupa/awesome-cheatsheets,,
starship/starship,Main workflow' 'active' '9652' 'Installation' 'active' '6148095' 'Security audit' 'active' '8648419' 'Documentation Workflow' 'active' '17911992' '.github/workflows/formatter-workflow.yml' 'active' '17963515' 'Format + Docs Workflow' 'active' '18268813' 'Build Codesigned Starship Binary' 'active' '19403589' 'Apple Notarize Testing' 'active' '20768238' 'Crowdin Updates' 'active' '26070670' 'Release' 'active' '26784017,
koalaman/shellcheck,Build ShellCheck' 'active' '5815765,
acmesh-official/acme.sh,Build DockerHub' 'active' '1171494' 'Shellcheck' 'active' '2226163' 'PebbleStrict' 'active' '2265216' 'Ubuntu' 'active' '2343034' 'DNS' 'active' '2535238' 'Linux' 'active' '10377063' 'FreeBSD' 'active' '10642608' 'MacOS' 'active' '10642609' 'Windows' 'active' '10642610' 'Solaris' 'active' '10642611' 'OpenBSD' 'active' '29794417' 'NetBSD' 'active' '29952813' 'DragonFlyBSD' 'active' '31119813' 'Update issues' 'active' '31357179' 'Check dns api' 'active' '31840472' 'Check dns api' 'active' '32968629,
mathiasbynens/dotfiles,,
alebcay/awesome-shell,GitHub Actions CI' 'active' '8418136,
jaywcjlove/linux-command,GitHub Actions Build and Deploy linux-command' 'active' '225252' 'CI' 'active' '120438' 'pages-build-deployment' 'active' '16417196,
withfig/autocomplete,Run Linter' 'active' '7110009' 'Typecheck Files' 'active' '7110010' 'Build and release specs' 'active' '7564575' 'Check PR' 'active' '7568392' 'Greet User' 'active' '7614223' 'Run cspell' 'active' '30324134' 'Verify CLA' 'active' '42446795,
dylanaraps/neofetch,,
Nyr/openvpn-install,,
rbenv/rbenv,CI' 'active' '238514' 'Differential ShellCheck' 'active' '31752826' 'Lint' 'active' '35203568' 'Release' 'active' '13682727' 'pages-build-deployment' 'active' '35839809,
shelljs/shelljs,CI' 'active' '15779702,Thank you for reaching out regarding the security of the ShellJS module Please' 'note that this project is maintained on a besteffort basis however I still' 'intend to prioritize reviewing and addressing security issues' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'I generally only support the latest ShellJS release see httpswwwnpmjscom' 'packageshelljs My goal is to release security fixes as patch releases on top' 'of whatever was most recently shipped' 'If breaking changes have already landed on the main development branch I may' 'apply the patch on the relevant release branch ex release and create a' 'new release from there' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report security vulnerabilities to ntfschrgmailcom I should respond' 'within a few days Although its not strictly required it helps me out if you' 'can include any proof of concept exploit code suggested fix etc' 'PPlleeaassee ddoo nnoott ppuubblliiccllyy ddiisscclloossee tthhee ssuussppeecctteedd vvuullnneerraabbiilliittyy until I have a' 'chance to review your report Id like a chance to patch the code before the' 'issue is known to the public' 'Please oonnllyy use this email for security issues Its also OK to use the email' 'if youre legitimately unsure if this is a security issue better safe than' 'sorry But for all other nonsecurity issues please use the GitHub issue' 'tracker
powerline/powerline,Build and Publish to PyPI' 'active' '2656678,
faressoft/terminalizer,,
Bash-it/bash-it,CI' 'active' '4069482' 'pages-build-deployment' 'active' '21269178,
jessfraz/dockerfiles,make test' 'active' '1318048,
denisidoro/navi,Publish' 'active' '674712' 'CI' 'active' '666235,
extrawurst/gitui,CI' 'active' '836523' 'CD' 'active' '1011875,
charmbracelet/gum,build' 'active' '29880360' 'goreleaser' 'active' '29881063' 'lint-soft' 'active' '31329201' 'lint' 'active' '31329200' 'nightly' 'active' '29881064' 'soft-serve' 'active' '29881065,
kingToolbox/WindTerm,,
carlospolop/PEASS-ng,CI-linpeas-ubuntu' 'active' '10536233' 'CI-winpeas_dev_test' 'active' '11251495' 'CI-PR_from_dev' 'active' '11335890' 'CI-master_test' 'active' '11335931,
cheat/cheat,Go' 'active' '8612400' 'Go' 'active' '8612359' 'CodeQL' 'active' '3319639' 'homebrew' 'active' '973845,
warpdotdev/Warp,,
direnv/direnv,CodeQL' 'active' '25168967' 'Go' 'active' '285572' 'Nix' 'active' '416047' 'Create Release' 'active' '1229849' 'pages-build-deployment' 'active' '16466303,
codota/TabNine,,
skywind3000/awesome-cheatsheets,,
rgcr/m-cli,,
JanDeDobbeleer/oh-my-posh,Validate Code' 'active' '2516242' 'Validate Commits' 'active' '2516243' 'Release' 'active' '2516244' 'Azure Static Web Apps CI/CD' 'active' '3050830' 'Markdownlint' 'active' '4246337' 'Go Mod' 'active' '4510360' 'Code QL' 'active' '9049957' 'Scoop' 'active' '15558294' 'Homebrew' 'active' '15558296' 'Inno' 'active' '15634058' 'Winget' 'active' '15634059' 'Build Code' 'active' '15634472' 'Notify When Maintainers Cannot Edit' 'active' '19369486' 'Windows Store' 'active' '27015957' 'Close Themes PR' 'active' '38056644' 'Contributors' 'active' '41573487' 'Merge contributions PR' 'active' '41573488' 'Mastodon' 'active' '41593743' 'Discord' 'active' '43845136,SSuuppppoorrtteedd VVeerrssiioonnss' 'Only the latest release is supported' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Vulnerabilities can be send in via email to avoid publishing in the open Oh My' 'Posh does not have a bountry program neither do we respond to beg bounties' 'For valid security concerns you can expect a response within  hours and' 'credit is given once an acceptable fix is found and published
angristan/openvpn-install,' 'active' '166338' 'Test' 'active' '1134619' 'Lint' 'active' '1135337,
kanaka/mal,Build and Test' 'active' '8232040' 'pages-build-deployment' 'active' '16473254,
alexanderepstein/Bash-Snippets,.github/workflows/shellcheck.yml' 'active' '2861478,
ajeetdsouza/zoxide,release' 'active' '695298' 'cargo-udeps' 'active' '2812528' 'ci' 'active' '6769934,
guarinogabriel/Mac-CLI,,
onceupon/Bash-Oneliner,pages-build-deployment' 'active' '25334844,
webpro/awesome-dotfiles,Check Markdown links' 'active' '1853890,
Gogh-Co/Gogh,Generate themes.json' 'active' '5242468' 'pages-build-deployment' 'active' '36839830,
mikefarah/yq,Build' 'active' '607546' 'Release YQ' 'active' '3727653' 'Test Yq Action' 'active' '11337393' '.github/workflows/release-test.yml' 'active' '14374352' 'Golangci-lint' 'active' '15076718' 'pages-build-deployment' 'active' '16638602' 'Release Docker' 'active' '23989218' 'CodeQL' 'active' '25170434' 'Release Snap' 'active' '40426710,
enquirer/enquirer,,
xonsh/xonsh,Check News Item' 'active' '9994509' 'Build and deploy docs' 'active' '18002175' 'CI Tests' 'active' '22076566' 'publish' 'active' '25824097,
bregman-arie/devops-resources,,
oldratlee/useful-scripts,CI' 'active' '41669464,
b-ryan/powerline-shell,,
donnemartin/dev-setup,,
kellyjonbrazil/jc,Tests' 'active' '690059' 'pages-build-deployment' 'active' '16703732,
arzzen/git-quick-stats,,
dehydrated-io/dehydrated,,
awesome-lists/awesome-bash,,
niieani/bash-oo-framework,,
mvdan/sh,Go' 'active' '169858' 'Test' 'active' '48992,
PipedreamHQ/pipedream,.github/workflows/publish-components.yaml' 'active' '4771692' 'Lint Code Base' 'active' '9213684' 'Pull Request Checks' 'active' '9214705' 'Pull Request Checks' 'active' '23115388' '.github/workflows/publish-packages.yaml' 'active' '25775729' '.github/workflows/publish-marketplace-content.yaml' 'active' '30728621,See our docs for details on reporting a vulnerability
denysdovhan/bash-handbook,,
hyperupcall/autoenv,ci' 'active' '13690231,
xwmx/nb,nb · Test Suite' 'active' '3432465' 'pages-build-deployment' 'active' '16400981,
v1s1t0r1sh3r3/airgeddon,Docker CI dev' 'active' '17782606' 'Docker CI master' 'active' '19021270,
dschep/ntfy,,
nojhan/liquidprompt,Lint Documentation' 'active' '5199554' 'Create Release With Assets' 'active' '4310434' 'ShellCheck' 'active' '25978760' 'tests' 'active' '4117539,
xxh/xxh,Test xxh on push' 'active' '6702591' 'Test xxh on pull request' 'active' '6703127' 'Release' 'active' '6725931,
LazoCoder/Pokemon-Terminal,,
TheLocehiliosan/yadm,Scheduled Site Tests' 'active' '3775363' 'Close Stale Issues' 'active' '16761028' 'Tests' 'active' '3775213' 'pages-build-deployment' 'active' '21962249,
dylanaraps/fff,,
Gictorbit/photoshopCClinux,,
wfxr/forgit,ci' 'active' '2162654' 'Release' 'active' '41336462' 'Tag' 'active' '41336463,
bats-core/bats-core,Tests' 'active' '5622415' 'Release' 'active' '5625678' 'Release to docker hub' 'active' '6844960' 'Build RPM' 'active' '34209434,
DDoSolitary/LxRunOffline,.github/workflows/build.yml' 'active' '423103,
MichaIng/DietPi,Amiberry' 'active' '26907473' 'DietPi-Build' 'active' '20078131' 'gmediarender' 'active' '37591257' 'raspberrypi-sys-mods' 'active' '35147548' 'shairport-sync' 'active' '37535933' 'shellcheck' 'active' '22727607' 'squeezelite' 'active' '37379243' 'vaultwarden' 'active' '30735552,CCoovveerraaggee' 'Please report security vulnerabilities shipped with our images or created by' 'our scripts in bboooottddiieettppii like insecure system configurations or insecure' 'default software implementations' 'We are nnoott responsible for a security vulnerability in any package or binary' 'shipped with Debian Raspbian any rd party repository or within the software' 'executables themselves In such cases please report issues to the related' 'repository bug tracker or upstream developers You may still report those' 'additionally to us so that we may find a way to work around the issue for our' 'implementation until a fix is available' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you have discovered a potential security issue within our images scripts' 'configs or software implementations please send all relevant information such' 'as references commits or code examples that would be useful in reproducing' 'the issue to michadietpicom so that we may be able to investigate and fix' 'it internally without having our users systems exposed' 'Only open an issue at httpsgithubcomMichaIngDietPiissues if you are sure' 'that the contained information cannot be used to compromise any of our users' 'systems
tfutils/tfenv,Test' 'active' '5620402,
KittyKatt/screenFetch,,
GameServerManagers/LinuxGSM,Github to Bitbucket sync' 'active' '1217461' 'jc2server' 'active' '1881506' 'rustserver' 'active' '1903940' 'Lock Threads' 'active' '4479236' 'Issue Labeler' 'active' '5894024' 'vhserver' 'active' '7734803' 'mcserver' 'active' '7735696' 'Version Check' 'active' '10925278' 'Label sponsors' 'active' '13639506' 'Potential Duplicates' 'active' '14076325' 'Lint Code Base' 'active' '27397304' 'gameserver' 'active' '27399368' 'Update copyright year(s) in license file' 'active' '36655946' 'Codacy Security Scan' 'active' '37878017' 'Lint Code Base' 'active' '37878020' 'Trigger Docker Build' 'active' '39029366' 'codacy-coverage-reporter' 'disabled_manually' '2890664' 'download-test' 'disabled_manually' '2895839,
