author_repo,wf_contents,security_policy
storybookjs/storybook,Unit tests' 'active' '14458' 'CLI tests' 'active' '14459' 'Puppeteer & A11y tests' 'active' '14461' 'Automention PRs' 'active' '14911' 'Dangerfile JS Pull' 'active' '14912' 'Dangerfile JS Pull' 'active' '127452' 'Trigger CircleCI workflow' 'active' '3911051' 'Danger JS' 'active' '7958226' 'Generate And Push Repros' 'active' '12422119' 'Handle Release Branches' 'active' '14886250' 'Export to linear' 'active' '15268250' 'Markdown Links Check' 'active' '22587517' 'Generate and push repros to the next branch' 'active' '31265784' 'Generate And Push Repros' 'disabled_manually' '31138867,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn       SSuuppppoorrtteedd' '   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability you can reach out to the maintainers directly on' 'Twitter httpstwittercomstorybookjs' 'When we fix a security issue we will post a security advisory on GithubNPM' 'describe the change in the release notes and also announce notify the' 'community on our Discord
nrwl/nx,CI nx-dev e2e' 'active' '24909849' 'E2E matrix' 'active' '5058453' 'E2E matrix (Windows)' 'active' '16120199' 'NPM Audit' 'active' '6037813' 'Stale Bot workflow' 'active' '1417732,
diegohaz/arc,,
vuesion/vuesion,Deploy to Production' 'active' '13549065' 'Deploy to Staging' 'active' '13548850' 'Pull Request Checks' 'active' '13548203,
chromaui/learnstorybook.com,Chromatic' 'active' '235715' 'Chromatic' 'active' '47487,
React95/React95,React95 - Publish workflow' 'active' '5002934' 'Labeler' 'active' '9913155' 'pages-build-deployment' 'active' '16394764' 'Nx CI' 'active' '27278760' 'Codeball' 'active' '29715556' 'React95 - Bojagi build workflow' 'disabled_manually' '8343910' 'React95 - Bojagi upload workflow' 'disabled_manually' '8384710,
BuilderIO/figma-html,,
trungk18/jira-clone-angular,,
AdaptiveConsulting/ReactiveTraderCloud,Branch build' 'active' '11429881' 'Commit build' 'active' '11429882' 'Pull request build' 'active' '11431836' 'Pull Request (classic - fork)' 'active' '12075040' 'Pull Request (classic - origin' ' up)' 'active' '12075041' 'Tag build' 'active' '12275716' 'Cypress Tests' 'active' '20064624,
danilowoz/react-atomic-design,,
oblador/loki,Tests' 'active' '1459469' 'Website' 'active' '22655758' 'pages-build-deployment' 'active' '25974115,
pankod/next-boilerplate,Node CI' 'active' '198675' 'Node CI' 'active' '63601,
ifmeorg/ifme,,
jj811208/watching-you,Publish Core Package' 'active' '34526790' 'Publish React Package' 'active' '34585643' 'Publish Vue Package' 'active' '39092493' 'CodeQL' 'active' '39143322' 'Deploy Page' 'active' '39144636' 'PR Test' 'active' '39821332,
NiGhTTraX/ts-monorepo,npm' 'active' '11872589' 'tests' 'active' '5801217' 'yarn' 'active' '11872590,
vue-play/vue-play,,
TowhidKashem/snapchat-clone,pages-build-deployment' 'active' '21673323,
storybookjs/storybook-deployer,CodeQL' 'active' '2879815,
open-sauced/open-sauced,Publish stories if changed' 'active' '271916' 'CodeQL' 'active' '7271798' 'Compliance' 'active' '11888246' 'Release' 'active' '11888247' 'Triage' 'active' '11888248' 'Development' 'active' '11888409' 'Create repository visualisation diagram' 'active' '13444760' 'Maintenance' 'active' '38391082,GitHubs Bug Bounty program rewards researchers for discovering security' 'vulnerabilities in a number of repositories The full list of projects that are' 'eligible for rewards are available on our Bug Bounty site' 'If the repository is eligible for rewards you can submit a report via' 'HackerOne You can find more useful information in our rules and FAQ' 'For repositories not covered by the Bug Bounty program please open an issue
aeksco/react-typescript-web-extension-starter,,
pocka/storybook-addon-designs,Check code validity' 'active' '28327986' 'Deploy to GitHub Pages' 'active' '792596' 'Publish alpha package' 'active' '986363' 'Publish beta package' 'active' '1365799' 'Publish the package' 'active' '1200454' 'pages-build-deployment' 'active' '17449856,
HarveyD/react-component-library,,
storybookjs/react-native,Dangerfile JS Label' 'active' '427142' 'E2E Detox tests' 'active' '511331,
DTStack/molecule,Deploy to GitHub Pages' 'active' '20401858' 'CI' 'active' '5367368' 'Test GitHub Pages Deployment' 'active' '20401859' 'pages-build-deployment' 'active' '16607502,
WebDevStudios/nextjs-wordpress-starter,Chromatic' 'active' '4416707' 'Assertions' 'active' '8102097' 'Publish' 'active' '13299816' 'pages-build-deployment' 'active' '16818244' 'Security' 'active' '20972916,
BearStudio/start-ui-web,🚀 Start UI [web]' 'active' '11170759,
salihozdemir/stackoverflow-clone,,
reg-viz/storycap,Node.js CI' 'active' '603176,
storybook-eol/react-cdk,,
storybookjs/testing-react,Release' 'active' '6754565' 'Test' 'active' '15887666' 'Export to linear' 'active' '15995465,
ComponentDriven/componentdriven.org,Chromatic' 'active' '2050923,
react-theming/storybook-addon-material-ui,Codacy Security Scan' 'active' '4310834,
tuchk4/storybook-readme,,
rcdexta/react-event-timeline,,
UX-and-I/storybook-design-token,,
klaufel/awesome-design-systems,,
silviopaganini/nft-market,CodeQL' 'active' '9730271' 'Build and Deploy' 'active' '7707648' 'pages-build-deployment' 'active' '17710629,
MarceauKa/shaark,,
infinitered/ignite-andross,,
navneetsharmaui/sveltekit-starter,CodeQL' 'active' '13084662' 'Greetings' 'active' '12945131' 'Labeler' 'active' '12945278' 'Mark stale issues and pull requests' 'active' '12945288,RReeppoorrttiinngg PPootteennttiiaall SSeeccuurriittyy IIssssuueess' 'If you have encountered a potential security vulnerability in this project' 'please report it to us at here We will work with you to verify the' 'vulnerability and patch it' 'When reporting issues please provide the following information' '     Components affected' '     A description indicating how to reproduce the issue' '     A summary of the security vulnerability and impact' 'We request that you contact us via the email address above and give the project' 'contributors a chance to resolve the vulnerability and issue a new release' 'prior to any public exposure this helps protect the projects users and' 'provides them with a chance to upgrade andor update in order to protect their' 'applications' 'PPoolliiccyy' 'If we verify a reported security vulnerability our policy is' '     We will patch the current release branch as well as the immediate prior' '      minor release branch' '     After patching the release branches we will immediately issue new' '      security fix releases for each patched release branch' '     A security advisory will be released on the project website detailing the' '      vulnerability as well as recommendations for endusers to protect' '      themselves
panacloud/bootcamp-2020,pages-build-deployment' 'active' '22828359,
mthuret/storybook-addon-specifications,,
cuke-ui/cuke-ui,,
harryho/react-crm,,
gridaco/assistant,General tests' 'active' '8674510,
chrisvxd/story2sketch,,
govuk-react/govuk-react,Chromatic' 'active' '9063583' 'CI' 'active' '9058453' 'Cypress' 'active' '9239861' 'Dependabot' 'active' '25258807' 'GitHub Pages' 'active' '9062918' 'Publish Release' 'active' '9062919' 'pages-build-deployment' 'active' '23561948,
phenixdigital/phx_live_storybook,Elixir CI' 'active' '30799406,
OperationCode/front-end,.github/workflows/chromatic.yml' 'active' '2815485,
deptno/next.js-typescript-starter-kit,,
chromaui/learnstorybook-code,Chromatic' 'active' '237267' 'Chromatic Deployment' 'active' '760025,
hipstersmoothie/storybook-dark-mode,,
abhiaiyer91/apollo-storybook-decorator,,
creevey/creevey,Build and Test' 'active' '2718270' 'CodeQL' 'active' '2922897' 'Chromatic Deployment' 'active' '4245296,
bluefireteam/dashbook,Gh-Pages' 'active' '6845768' 'Dashbook' 'active' '10773406' 'pages-build-deployment' 'active' '20583491,
Summer-andy/react-loading,,
imranhsayed/gatsby-wordpress-themes,,
vitejs/vite-plugin-react-pages,deploy to gh-pages' 'active' '44242877' 'test' 'active' '29971129' 'pages-build-deployment' 'active' '16930916,
