author_repo,wf_contents,security_policy
PanJiaChen/vue-element-admin,,
storybookjs/storybook,Unit tests' 'active' '14458' 'CLI tests' 'active' '14459' 'Puppeteer & A11y tests' 'active' '14461' 'Automention PRs' 'active' '14911' 'Dangerfile JS Pull' 'active' '14912' 'Dangerfile JS Pull' 'active' '127452' 'Trigger CircleCI workflow' 'active' '3911051' 'Danger JS' 'active' '7958226' 'Generate And Push Repros' 'active' '12422119' 'Handle Release Branches' 'active' '14886250' 'Export to linear' 'active' '15268250' 'Markdown Links Check' 'active' '22587517' 'Generate and push repros to the next branch' 'active' '31265784' 'Generate And Push Repros' 'disabled_manually' '31138867,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn       SSuuppppoorrtteedd' '   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability you can reach out to the maintainers directly on' 'Twitter httpstwittercomstorybookjs' 'When we fix a security issue we will post a security advisory on GithubNPM' 'describe the change in the release notes and also announce notify the' 'community on our Discord
webpack/webpack,Test' 'active' '5647726,If you discover a security issue in webpack please report it by sending an' 'email to webpackopencollectivecom' 'This will allow us to assess the risk and make a fix available before we add a' 'bug report to the GitHub repository' 'Thanks for helping make webpack safe for everyone
bailicangdu/vue2-elm,Close Inactive Issue' 'active' '13100854,
akveo/ngx-admin,Deploy to demo (azure storage)' 'active' '10692855' '.github/workflows/demoDeploy.yml' 'active' '1282857' 'Deploy docs' 'active' '1293209' 'pages-build-deployment' 'active' '19267493,
markerikson/react-redux-links,Check URLs for dead links' 'active' '13783753,
electron-react-boilerplate/electron-react-boilerplate,CodeQL' 'active' '32636566' 'Publish' 'active' '3445128' 'Test' 'active' '47235,
jhipster/generator-jhipster,React' 'active' '2446' 'Angular' 'active' '2449' 'Generator' 'active' '2450' 'Triage issues' 'active' '26819' 'Generator CI' 'active' '211952' 'Validate Gradle Wrapper' 'active' '426030' 'Pull Request Labeler' 'active' '473177' 'Cleanup Labels' 'active' '603224' 'Release Drafter' 'active' '1308515' 'Vue' 'active' '1862398' 'Composite' 'active' '6333896' 'Build cache' 'active' '8327306' 'Couchbase' 'active' '12646719' 'Dev Server' 'active' '12824495' 'Publish Docker Image' 'active' '13070134' 'Package lock maintenance' 'active' '13768597' 'Dependabot auto-merge' 'active' '21953096' 'Generators' 'active' '22131480' 'Incremental Changelog' 'active' '22261874' 'Blueprint Generator' 'active' '22261875' 'Dependency Review' 'active' '24734709' 'Copyright Update' 'active' '44418507,SSuuppppoorrtteedd VVeerrssiioonnss' 'Only the latest version of JHipster is supported with security updates' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please do not report security issues to the public issue tracker If you think' 'you have found a security vulnerability please send security issues to' 'julienduboisgmailcom or dudtsgmailcom We will do our best to get back to' 'you as soon as possible
verekia/js-stack-from-scratch,,
vercel/turbo,Verify Examples' 'active' '16865593' 'Dependabot' 'active' '28635227' 'pages-build-deployment' 'active' '33734719' 'Go Lint' 'active' '34496608' 'Go Unit Tests' 'active' '34496609' 'Go E2E Tests' 'active' '34496610' 'JS Lint' 'active' '34496611' 'JS Unit Tests' 'active' '34496612' 'Go Run Examples' 'active' '34496613' '.github/workflows/cross-build.yml' 'active' '35374024' 'Create Release Branch' 'active' '36842869' 'Build Go Library' 'active' '37917077' 'Build Rust Wrapper' 'active' '37917078' 'Publish docs' 'active' '38443932' 'Publish npm packages' 'active' '38443933' 'Bench Turbo trace against @vercel/nft' 'active' '38443939' 'Large Repo Benchmark' 'active' '38444088' 'Custom next-dev Benchmark' 'active' '38444089' 'Custom matrix next-dev Benchmark' 'active' '38444090' 'Scheduled Merge OSS `main` Action' 'active' '38444091' 'Release From Branch' 'active' '38444092' 'Turborepo E2E tests' 'active' '39208815' 'Turborepo E2E tests' 'active' '39208816' 'CLI Linter' 'active' '39208817' 'CLI Unit Tests' 'active' '39211686' 'Benchmark other Bundlers' 'active' '39507244' 'CLI Run Examples' 'active' '39529208' 'CLI Run Examples' 'active' '39529209' 'JS Package Tests' 'active' '39530733' 'JS Package Tests' 'active' '39531427' 'Pull Request Labeler' 'active' '39656676' '.github/workflows/turbo-ignore.yml' 'active' '39846007' 'Test' 'active' '40143876' 'Turborepo Integration tests' 'active' '40204819' 'Turborepo Integration tests' 'active' '40204820' 'Update Google font-data.json' 'active' '42601508' 'Bump up swc' 'active' '42916056' 'Build Rust cache' 'active' '44607862' 'Build Go Binary' 'active' '44774357' 'Large Repo Benchmark' 'disabled_manually' '19917563' 'Cancel' 'disabled_manually' '20976374' 'CI JS' 'disabled_manually' '31957742,
mojs/mojs,CI' 'active' '1959280' 'Publish package' 'active' '7134784,
alibaba/ice,CI' 'active' '1231099' 'Coverage' 'active' '1231148' 'Auto Publisher' 'active' '2150130' 'Build Website' 'active' '40745994,
jamiebuilds/react-loadable,,
SimulatedGREG/electron-vue,,
grab/front-end-guide,,
FormidableLabs/webpack-dashboard,CI' 'active' '4310641,
bailicangdu/vue2-manage,,
webpack-contrib/webpack-bundle-analyzer,main' 'active' '3969171,
d2-projects/d2-admin,Star notice' 'active' '4614' 'Deploy preview' 'active' '359894' 'Release pipeline' 'active' '1057932,
jaredpalmer/razzle,Test examples on trigger' 'active' '6349283' 'Test examples on trigger using node 14.x' 'active' '6355371' 'Label PRs from globs' 'active' '1034069' 'Run tests on push' 'active' '49441' 'Prettier' 'active' '8860399' 'Release' 'active' '1036290' 'Release' 'active' '20921477' 'Test examples on trigger' 'active' '6348340,
PatrickJS/MFE-starter,,
jantimon/html-webpack-plugin,CI' 'active' '5157785,
ksky521/nodeppt,,
aui/art-template,,
timarney/react-app-rewired,,
gregberge/svgr,CI' 'active' '12853341,
akveo/nebular,Deploy docs' 'active' '15882863' 'PR check' 'active' '14953242' 'pages-build-deployment' 'active' '16802842,
pastelsky/bundlephobia,CI' 'active' '39105653,
webpack/webpack-dev-server,Cancel' 'active' '32400499' 'Dependency Review' 'active' '37828563' 'webpack-dev-server' 'active' '986822,
chrisvfritz/prerender-spa-plugin,,
phuocng/csslayout,,
gregberge/loadable-components,,
webslides/WebSlides,,
WhitestormJS/whs.js,,
hinesboy/mavonEditor,CI' 'active' '6659038' 'pages-build-deployment' 'active' '20163466,SSuuppppoorrtteedd VVeerrssiioonnss' 'Security is of the highest importance and all security vulnerabilities or' 'suspected security vulnerabilities should be reported to mavonEditor team' 'privately to minimize attacks against current users of mavonEditor before they' 'are fixed Vulnerabilities will be investigated and patched on the next patch' 'or minor release as soon as possible This information could be kept entirely' 'internal to the project' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you know of a publicly disclosed security vulnerability for mavonEditor' 'please IMMEDIATELY contact jiawulinvipqqcom to inform the mavonEditor Team' 'IMPORTANT Do not file public issues on GitHub for security vulnerabilities
insin/nwb,,
react-ui-builder/structor,,
zouhir/jarvis,,
alibaba/x-render,🚀 Build CI' 'active' '15796191' 'Emoji Helper' 'active' '15823509' 'Issue Reply' 'active' '15823510' '.github/workflows/deploy.yml' 'active' '18667540' '.github/workflows/mirror.yml' 'active' '19662852' '💯 Coverage CI' 'active' '20957415,
rails/webpacker,Dependency Review' 'active' '28329795' 'Jest specs' 'active' '1441921' 'JS lint' 'active' '1441922' 'Code Quality' 'active' '35242690' 'Rubocop' 'active' '1441919' 'Ruby specs' 'active' '1441920,
electron/forge,Dependabolt' 'active' '180386' 'CI' 'active' '9638' 'API Documentation' 'active' '25021222' 'pages-build-deployment' 'active' '25023291,
maximegris/angular-electron,MacOS Build' 'active' '5791287' 'Linux Build' 'active' '5791144' 'Windows Build' 'active' '5791286' 'pages-build-deployment' 'active' '16504752,
egoist/poi,,
hql287/Manta,,
laravel-mix/laravel-mix,Node.js CI' 'active' '2825304,
vigetlabs/blendid,,
shakacode/react_on_rails,Lint JS and Ruby' 'active' '2393020' 'Main test' 'active' '2393021' 'JS unit tests for Renderer package' 'active' '2393022' 'Rspec test for gem' 'active' '2393023,
vuejs/vue-loader,ci' 'active' '13374234,
FAQGURU/FAQGURU,,
duxianwei520/react,pages-build-deployment' 'active' '33694633,
babel/babel-loader,babel-loader' 'active' '2558330,
youngwind/blog,,
webpack-contrib/awesome-webpack,,
NekR/offline-plugin,,
jaredpalmer/backpack,,
cookiecutter-flask/cookiecutter-flask,Build Status' 'active' '22965121' 'CodeQL' 'active' '22965270' 'Auto Build Example Repo' 'active' '22965399,contact a maintainer
amireh/happypack,,
alexjoverm/typescript-library-starter,,
gwuhaolin/dive-into-webpack,pages-build-deployment' 'active' '30872600,
webpack-contrib/css-loader,Cancel' 'active' '32399636' 'Dependency Review' 'active' '37611279' 'css-loader' 'active' '1032926,
biaochenxuying/blog,,
jaredpalmer/after.js,Labeler' 'active' '1111745' 'Release' 'active' '408460' 'size' 'active' '14761123,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x     ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Send a Twitter DM to jaredpalmer nimaarf or an email to' 'securityjaredpalmercom
nklayman/vue-cli-plugin-electron-builder,Label sponsors' 'disabled_manually' '798944' 'Node CI' 'active' '108667,
neutrinojs/neutrino,CI' 'active' '13804433,
webpack-contrib/sass-loader,Cancel' 'active' '32399984' 'Dependency Review' 'active' '37503401' 'sass-loader' 'active' '986267,
wmonk/create-react-app-typescript,,
webpack-china/awesome-webpack-cn,,
callstack/haul,,
imcuttle/mometa,Test' 'active' '17266241,
themesberg/flowbite,,
TypeStrong/ts-loader,build and test' 'active' '126399' 'build and test' 'active' '52685' 'release' 'active' '829897,
GoogleChromeLabs/webpack-libs-optimizations,,
MoOx/phenomic,,
privatenumber/esbuild-loader,Release' 'active' '2233248' 'Test' 'active' '2233125,
didi/mpx,docs' 'active' '1117987' 'lerna-publish-package' 'active' '1117988' 'test' 'active' '1708771' 'pages-build-deployment' 'active' '27251878,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x   ' '    ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability please send an email with the details to' 'qqcom or com' 'We will do our best to fix the problem as soon as possible' 'Thank you for helping us to keep secure
GoogleChromeLabs/critters,CI' 'active' '9473744,
neutrinojs/webpack-chain,ci' 'active' '11015636,
shinygang/Vue-cnodejs,,
andywer/webpack-blocks,pages-build-deployment' 'active' '17919204,
ronami/minipack,,
DOClever/DOClever,,
icebob/vue-express-mongo-boilerplate,,
reactGo/reactGo,,
