author_repo,wf_contents,security_policy
miniMAC/magic,,
vigetlabs/blendid,,
nieweidong/fetool,,
assemble/assemble,,
yeoman/generator-webapp,,
Tencent/WeFlow,,
EmailThis/extension-boilerplate,,
MicrosoftDX/Vorlonjs,,
nas5w/100-days-of-code-frontend,,
Tencent/tmt-workflow,,
egoist/maid,,
summerblue/phphub5,,
PatrickJS/NG6-starter,,
ykob/sketch-threejs,pages-build-deployment' 'active' '16810421,
luangjokaj/wordpressify,,
flatlogic/angular-material-dashboard,,
b00giZm/docker-compose-nodejs-examples,,SSeeccuurriittyy' 'SolidJS takes the security of our software seriously including all of the open' 'source code repositories managed through this GitHub organization' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'IIff yyoouu tthhiinnkk yyoouuvvee ffoouunndd aa sseeccuurriittyy iissssuuee pplleeaassee DDOO NNOOTT rreeppoorrtt ddiissccuussss oorr' 'ddeessccrriibbee iitt oonn DDiissccoorrdd oorr GGiittHHuubb' 'AAllll sseeccuurriittyyrreellaatteedd iissssuueess ccoonncceerrnnss aanndd pprroobblleemmss mmuusstt bbee rreeppoorrtteedd vviiaa eemmaaiill' 'ttoo sseeccuurriittyyssoolliiddjjssccoomm' 'Please include everything necessary to reproduce the problem when sending over' 'information including an example repository on StackBlitz or GitHub Please' 'dont add explicit details about the security issue you are reporting in any of' 'the repositorys contents' 'TThhiiss iiss ddeettrriimmeennttaall ttoo tthhee ssaaffeettyy ooff aallll SSoolliidd uusseerrss NNoo eexxcceeppttiioonnss' 'EEmmbbaarrggoo PPoolliiccyy' 'SolidJSs Security Team members must share information only within the Solid' 'Core and Security teams on a needtoknow basis to fix the related issue in' 'Solid The information members and others receive through participation in this' 'group must not be made public shared or even hinted otherwise except with' 'prior explicit approval which shall be handled on a casebycase basis This' 'holds true until the agreedupon public disclosure datetime is satisfied' 'As a clarifying example this policy forbids Solid Security members from' 'sharing list information with their employers unless prior arrangements have' 'been made directly with an employer' 'In the unfortunate event that you share the information beyond what is allowed' 'by this policy you must urgently inform the Solid Security Team of exactly' 'what information leaked and to whom as well as the steps that will be taken to' 'prevent future leaks' 'RReeppeeaatteedd ooffffeennsseess mmaayy lleeaadd ttoo tthhee rreemmoovvaall ffrroomm tthhee SSeeccuurriittyy oorr SSoolliidd tteeaamm
FountainJS/generator-fountain-webapp,,
nicejade/nice-front-end-tutorial,,
cferdinandi/gulp-boilerplate,' 'active' '138739,
Platform-CUF/use-gulp,,
logeshpaul/Frontend-Cheat-Sheets,,
tars/tars,,
themesberg/neumorphism-ui-bootstrap,,
minamarkham/sassy-starter,,
jonschlinkert/gulp-htmlmin,,
ericmdantas/generator-ng-fullstack,,
aermin/vue-chat,,
xsynaptic/wordpress-gulp-starter-kit,,
jh3y/tyto,,
scniro/gulp-clean-css,,
nicothin/NTH-start-project,,
BootstrapDash/PurpleAdmin-Free-Admin-Template,,
brianmaierjr/long-haul,,
alferov/awesome-gulp,,
foundation/panini,,
HosseinKarami/fastshell,,
JacksonGariety/gulp-nodemon,,
antonybudianto/angular-starter,,
gulp-community/gulp-pug,dev' 'active' '5174464,
miickel/gulp-angular-templatecache,,
mahnunchik/gulp-responsive,,
themesberg/pixel-bootstrap-ui-kit,,
andreyalexeich/gulp-scss-starter,,
sun-zheng-an/gulp-shell,,
taobataoma/meanTorrent,,
TryKickoff/kickoff,,
xiugangzhang/video.github.io,,
mmistakes/made-mistakes-jekyll,,
SnowdogApps/magento2-frontools,,
oukingtim/king-admin,,
stevelacy/gulp-git,,
Alecaddd/awps,pages-build-deployment' 'active' '36278896,
pgherveou/gulp-awspublish,,
morris/vinyl-ftp,,
kogakure/gulp-tutorial,,
gulpjs/gulp-cli,,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a security vulnerability please use the Tidelift security contact' 'Tidelift will coordinate the fix and disclosure
summerblue/news.laravel-china.org,,
suruibuas/eui,,
sondr3/generator-jekyllized,,
phase2/particle,,
SimonPadbury/b4st,,
engageinteractive/core,,
unbug/generator-webappstarter,,
andreyalexeich/gulp-pug-starter,,
reisraff/phulp,,
huangx916/GameplayFramework,,
Selvin11/login,,
generate/generate,,
pattern-lab/edition-node-gulp,,
gab-ai-inc/gab-dissenter-extension,,
BootstrapDash/Material-Admin,,
Jeff2Ma/WeApp-Workflow,,
taylorbryant/jekyll-starter-tailwind,,
guojiangclub/miniprogram-ecommerce-open-source,,
warengonzaga/wifi-passview,pages-build-deployment' 'active' '34558794,
HaNdTriX/generator-chrome-extension-kickstart,,
tsrot/react-zhihu,,
1000ch/gulp-image,test' 'active' '3963710,
VFK/gulp-html-replace,,
wwwebman/gulp-webpack-starter,,
jdnichollsc/Ionic-Starter-Template,,
techqueria/website,,
BootstrapDash/Stellar,,
trevanhetzel/barekit,,
andrew/first-pr,pages-build-deployment' 'active' '23853343,
moizKachwala/Angular2-express-mongoose-gulp-node-typescript,,
Wscats/compile-hero,,
mismith0227/hugo_theme_pickles,create new branch' 'active' '15943001,
ducksoupdev/gulp-site-generator,,
w3tecch/express-graphql-typescript-boilerplate,,
dev-reading/fe,,
voorhoede/front-end-tooling-recipes,,
lazymozek/gulp-with-tailwindcss,pages-build-deployment' 'active' '31126887,
luangjokaj/gopablo,,
ci-blox/Ignition-Go,pages-build-deployment' 'active' '16705799,
PassionZale/iMall,,
STUkh/generator-angular-webpack-es6,,
Neveryu/Neveryu.github.io,pages-build-deployment' 'active' '17218520,
website-templates/portfolio_one-page-template,,
jr-cologne/gulp-starter-kit,Build test' 'active' '168432' 'Publish npm package' 'active' '758818' 'Build test' 'active' '758730,
uswds/uswds-site,Add all issues to project board' 'active' '29147874' 'pa11y' 'active' '9004420,
wiledal/gulp-include,,
hellobrian/sass-recipes,,
mjmlio/gulp-mjml,,
jbrodriguez/hugulp,,
nicosantangelo/sublime-gulp,,
