author_repo,wf_contents,security_policy
crystal-lang/crystal,AArch64 CI' 'active' '1611098' 'Linux CI' 'active' '1623475' 'macOS CI' 'active' '1623474' 'OpenSSL CI' 'active' '14523722' 'Regex Engine CI' 'active' '43345319' 'Smoke tests' 'active' '10724984' 'WebAssembly CI' 'active' '36711049' 'Windows CI' 'active' '461450,Should you find any securityrelated issue please ddoo nnoott sshhaarree tthheemm ooppeennllyy in' 'the issue tracker We have a dedicated mailbox where we keep track of them' 'securitymanastech' 'You can encrypt your message via Keybase set recipient crystal or with our' 'PGP key fingerprint  CC D BE    FD CC B also' 'available on Keybase server
kemalcr/kemal,CI' 'active' '6725645,
veelenga/awesome-crystal,CI' 'active' '10390913,
amberframework/amber,Docker CI' 'active' '40346334,
luckyframework/lucky,Lucky CI' 'active' '1119262' 'Deploy docs' 'active' '1119368' 'pages-build-deployment' 'active' '16745220,
getmango/Mango,Build' 'active' '810278' 'Publish Dockerhub' 'active' '1091510,
ffwff/lilith,,
drujensen/fib,,
amethyst-framework/amethyst,,
vitobotta/hetzner-k3s,Create Release' 'active' '33431982,
askn/crystal-by-example,,
crystal-community/icr,,
crystal-ameba/ameba,Docker image build and deploy' 'active' '44420201' 'CI' 'active' '4855039' 'Docs' 'active' '4855274' 'pages-build-deployment' 'active' '17168838,
will/crystal-pg,Check Changelog' 'active' '208117' 'CI' 'active' '36659869,
vim-crystal/vim-crystal,CI' 'active' '532538,
imdrasil/jennifer.cr,CI' 'active' '10516271' 'Docs generation' 'active' '11347546,
stefanwille/crystal-redis,Specs' 'active' '10996828' 'pages-build-deployment' 'active' '42432952,
crystal-lang/crystal-book,Deploy book' 'active' '3899290' 'Deploy config' 'active' '23431512,
cooperhammond/irs,,
Crecto/crecto,,
crystal-lang-tools/scry,,
oprypin/crsfml,CI' 'active' '249376' 'Deploy docs' 'active' '1149253' 'Validate CI config' 'active' '1146925' 'pages-build-deployment' 'active' '17642402,
elbywan/crystalline,Build' 'active' '2704717' 'Release' 'active' '2714157' 'Specs' 'active' '42793654,
hanabi1224/Programming-Language-Benchmarks,bench' 'active' '6442442' 'bench_test' 'active' '6444684' 'Cancel stale workflows' 'active' '22417073' 'site' 'active' '6442251,
Hentioe/policr,,
crystal-community/crystal-patterns,,
iGenius-Srl/IGColorPicker,,
samueleaton/sentry,,
anykeyh/clear,,
amberframework/granite,Granite Sanity Test' 'active' '42547492' 'pages-build-deployment' 'active' '24474396,
crystal-lang/crystal-db,CI' 'active' '10145146' 'pages-build-deployment' 'active' '18854682,
martenframework/marten,Docs' 'active' '29495889' 'QA' 'active' '10923409' 'Specs' 'active' '10923410,
costajob/app-servers,,
tbrand/router.cr,,
grip-framework/grip,Crystal CI' 'active' '2275821,Every version of Grip will receive security patches if anything is discovered' 'by either the core team or the opensource contributors of the Grip framework' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you will discover a vulnerability please open an issue to notify the core' 'team about the security hole provide a POC with which the core team members' 'will be able to identify debug and patch the flaw' 'As a token of graditude you will be listed on the READMEmd page in the bug' 'hunters section thank you for your time
toddsundsted/ktistec,.github/workflows/ci.yml' 'active' '44137376,
crystal-lang-tools/vscode-crystal-lang,Publish Extension' 'active' '4000664,
jeromegn/slang,,
xyproto/sdl2-examples,Close stale issues and PRs' 'active' '12064796' 'sdl2-examples' 'active' '12064797,
noahlh/celestite,crystal spec' 'active' '192949,
mamantoha/crest,Crystal CI' 'active' '168104' 'Crystal CI' 'active' '118428' 'website' 'active' '2096077' 'pages-build-deployment' 'active' '16791269,
Papierkorb/qt5.cr,,
charly-lang/charly,,
crystal-community/jwt,CI' 'active' '9700976,
tbrand/neph,,
lucaong/immutable,CI' 'active' '9895784,
cadmiumcr/cadmium,Crystal CI' 'active' '187572' 'Crystal CI' 'active' '262864,
Axentro/Axentro,Linux CI' 'active' '5754522,
mosquito-cr/mosquito,Test and Demo' 'active' '3228521' 'Build Docs' 'active' '18704090' 'pages-build-deployment' 'active' '18703897,
Blacksmoke16/oq,CI' 'active' '213891' 'CI' 'active' '528132' 'Deployment' 'active' '539620,
samueleaton/raze,,
kemalyst/kemalyst,,
Fusion/libui.cr,,
ChristianMurphy/compile-to-web,,
icyleaf/halite,Deploy API documents' 'active' '4435773' 'Linux CI' 'active' '4429408' 'Deploy new release' 'active' '4435774' 'pages-build-deployment' 'active' '22327719,
Papierkorb/bindgen,,
Blacksmoke16/GESI,pages-build-deployment' 'active' '22673906,
athena-framework/athena,CI' 'active' '150647' 'Sync' 'active' '16396162,
NeuraLegion/shainet,,
icyleaf/fast-crystal,,
watzon/marionette,specs' 'active' '1680674,
kostya/myhtml,Specs' 'active' '10995371,
amberframework/micrate,,
luckyframework/avram,Avram CI' 'active' '1680089' 'Deploy docs' 'active' '3616931' 'pages-build-deployment' 'active' '16687253,
ysbaddaden/prax.cr,,
askn/faker,Tests' 'disabled_inactivity' '7793437,
ysbaddaden/minitest.cr,Continuous Integration' 'disabled_inactivity' '3399516,
discordcr/discordcr,,
onyxframework/http,,
protoncr/tourmaline,Specs' 'active' '571921' 'Docs' 'active' '657832' 'pages-build-deployment' 'active' '16661966,
jessedoyle/duktape.cr,CI' 'active' '9918880,
askn/progress,,
madeindjs/Crystagiri,,
crystal-data/num.cr,Crystal CI' 'active' '404827' 'pages-build-deployment' 'active' '19554691,
jtomschroeder/crystalline,,
Anyolite/anyolite,Doc' 'active' '2318699' 'MRITest' 'active' '13126942' 'Test' 'active' '2315394' 'WinTest' 'active' '9079965' 'pages-build-deployment' 'active' '17117890,
cncf/cnf-testsuite,Crystal Specs' 'active' '3139604,
jhass/crystal-gobject,CI' 'active' '513985,
