author_repo,wf_contents,security_policy
homebridge/homebridge,CodeQL' 'active' '4825288' 'Stale workflow' 'active' '6007939' 'Node Build' 'active' '15233999' 'Release Drafter' 'active' '15234000' 'Node-CI Beta' 'active' '15455454' 'Node Release' 'active' '15455455' 'pages-build-deployment' 'active' '17040681' 'Wiki Changed Discord Notifications' 'active' '30324154,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'We want to ensure that all Homebridge projects are secure for everyone If' 'youve discovered a security vulnerability we appreciate your help in' 'disclosing it to us in a responsible manner' 'Publicly disclosing a vulnerability can put the entire community at risk If' 'youve discovered a security concern please send us a mail Well work with' 'you to make sure we understand the scope of the issue and that we fully' 'address your concern We consider correspondence sent to this email address our' 'highest priority and work to address any issues that arise as quickly as' 'possible' 'After a security vulnerability has been corrected a security hotfix release' 'will be deployed as soon as possible
oznu/docker-homebridge,Build' 'active' '977163' 'Stale Bot' 'active' '15632534' 'Wiki Changed Discord Notifications' 'active' '30324609,
oznu/homebridge-config-ui-x,Publish' 'active' '28554967' 'Stale Bot' 'active' '5425123' 'Test' 'active' '2165178,This document outlines security procedures and general policies for the' 'homebridgeconfiguix project' '     Reporting a Bug' '     Disclosure Policy' '     Comments on this Policy' 'RReeppoorrttiinngg aa BBuugg' 'The homebridgeconfiguix team and community take all security bugs in' 'homebridgeconfiguix seriously Thank you for improving the security of' 'homebridgeconfiguix We appreciate your efforts and responsible disclosure' 'and will make every effort to acknowledge your contributions' 'Report security bugs by emailing the maintainer at devoznu' 'The maintainer will acknowledge your email within  hours and will send a' 'more detailed response within  hours indicating the next steps in handling' 'your report After the initial reply to your report the security team will' 'endeavor to keep you informed of the progress towards a fix and full' 'announcement and may ask for additional information or guidance' 'Report security bugs in thirdparty modules to the person or team maintaining' 'the module' 'DDiisscclloossuurree PPoolliiccyy' 'When the security team receives a security bug report they will assign it to a' 'primary handler This person will coordinate the fix and release process' 'involving the following steps' '     Confirm the problem and determine the affected versions' '     Audit code to find any potential similar problems' '     Prepare fixes for all releases still under maintenance These fixes will' '      be released as fast as possible to npm' 'CCoommmmeennttss oonn tthhiiss PPoolliiccyy' 'If you have suggestions on how this process could be improved please submit a' 'pull request
YinHangCode/homebridge-mi-aqara,,
Sunoo/homebridge-camera-ffmpeg,NodeJS' 'active' '1011353' 'Stale' 'active' '1187278' 'Publish Beta' 'active' '1940888' 'CodeQL' 'active' '4653685' 'pages-build-deployment' 'active' '22703309,
hjdhjd/homebridge-unifi-protect,Close Stale Issues' 'active' '2748778' 'Close Non-Conforming Issues' 'active' '2748779' 'Automerge Dependabot Version Updates' 'active' '2788533' 'Continuous Integration' 'active' '3466457,
homebridge/homebridge-raspbian-image,CI' 'active' '573441' 'Stale workflow' 'active' '15162361' 'Wiki Changed Discord Notifications' 'active' '30324809,This document outlines security procedures and general policies for the' 'HHoommeebbrriiddggee RRaassppbbeerrrryy PPii IImmaaggee project' '     Reporting a Bug' '     Disclosure Policy' '     Comments on this Policy' 'RReeppoorrttiinngg aa BBuugg' 'The HHoommeebbrriiddggee RRaassppbbeerrrryy PPii IImmaaggee team and community take all security bugs in' 'HHoommeebbrriiddggee RRaassppbbeerrrryy PPii IImmaaggee seriously Thank you for improving the security' 'of HHoommeebbrriiddggee RRaassppbbeerrrryy PPii IImmaaggee We appreciate your efforts and responsible' 'disclosure and will make every effort to acknowledge your contributions' 'Report security bugs by emailing the maintainer at devoznu' 'The maintainer will acknowledge your email within  hours and will send a' 'more detailed response within  hours indicating the next steps in handling' 'your report After the initial reply to your report the security team will' 'endeavor to keep you informed of the progress towards a fix and full' 'announcement and may ask for additional information or guidance' 'Report security bugs in thirdparty modules to the person or team maintaining' 'the module' 'DDiisscclloossuurree PPoolliiccyy' 'When the security team receives a security bug report they will assign it to a' 'primary handler This person will coordinate the fix and release process' 'involving the following steps' '     Confirm the problem and determine the affected versions' '     Audit code to find any potential similar problems' '     Prepare fixes for all releases still under maintenance These fixes will' '      be released as fast as possible' 'CCoommmmeennttss oonn tthhiiss PPoolliiccyy' 'If you have suggestions on how this process could be improved please submit a' 'pull request
dgreif/ring,Node CI' 'active' '183395' 'Node-CI' 'active' '49033' 'Release' 'active' '40964415,
merdok/homebridge-webos-tv,,
lprhodes/homebridge-broadlink-rm,,
