author_repo,wf_contents,security_policy
trimstray/the-book-of-secret-knowledge,,
Hack-with-Github/Awesome-Hacking,,
Developer-Y/cs-video-courses,,
caddyserver/caddy,Tests' 'active' '787811' 'Release' 'active' '831150' 'Release Published' 'active' '1702029' 'Cross-Build' 'active' '2037318' 'Lint' 'active' '2952993' 'CGO Build' 'active' '12530829' 'CIFuzz' 'active' '15684134' 'CodeQL' 'active' '30395974,The Caddy project would like to make sure that it stays on top of all' 'practicallyexploitable vulnerabilities' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x     ' 'x     ' ' x   ' 'AAcccceeppttaabbllee SSccooppee' 'A security report must demonstrate a security bug in the source code from this' 'repository' 'Some security problems are the result of interplay between different components' 'of the Web rather than a vulnerability in the web server itself Please only' 'report vulnerabilities in the web server itself as we cannot coerce the rest' 'of the Web to be fixed for example we do not consider IP spoofing BGP' 'hijacks or missingmisconfigured HTTP headers a vulnerability in the Caddy web' 'server' 'Vulnerabilities caused by misconfigurations are out of scope Yes it is' 'entirely possible to craft and use a configuration that is unsafe just like' 'with every other web server we recommend against doing that' 'We do not accept reports if the steps imply or require a compromised system or' 'thirdparty software as we cannot control those We expect that users secure' 'their own systems and keep all their software patched For example if' 'untrusted users are able to uploadwritehost arbitrary files in the web root' 'directory it is NOT a security bug in Caddy if those files get served to' 'clients however it wwoouulldd be a valid report if a bug in Caddys source code' 'unintentionally gave unauthorized users the ability to upload unsafe files or' 'delete files without relying on an unpatched system or piece of software' 'Clientside exploits are out of scope In other words it is not a bug in Caddy' 'if the web browser does something unsafe even if the downloaded content was' 'served by Caddy Those kinds of exploits can generally be mitigated by proper' 'configuration of HTTP headers As a general rule the content served by Caddy' 'is not considered in scope because content is configurable by the site owner or' 'the associated web application' 'Security bugs in code dependencies are out of scope Instead if a dependency' 'has patched a relevant security bug please feel free to open a public issue or' 'pull request to update that dependency in our code' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'We get a lot of difficult reports that turn out to be invalid Clear obvious' 'reports tend to be the most credible but are also rare' 'First please ensure your report falls within the accepted scope of security' 'bugs above' 'Well need enough information to verify the bug and make a patch To speed' 'things up please include' '     Most minimal possible config without redactions' '     Commands' '     Precise HTTP requests curl v and its output please' '     Full log output please enable debug mode' '     Specific minimal steps to reproduce the issue from scratch' '     A working patch' 'Please DO NOT use containers VMs cloud instances or services or any other' 'complex infrastructure in your steps Always prefer curl instead of web' 'browsers' 'We consider publiclyregistered domain names to be public information This' 'necessary in order to maintain the integrity of certificate transparency' 'public DNS and other public trust systems Do not redact domain names from' 'your reports The actual content of your domain name affects Caddys behavior' 'so we need the exact domain names to reproduce with or your report will be' 'ignored' 'It will speed things up if you suggest a working patch such as a code diff' 'and explain why and how it works Reports that are not actionable do not' 'contain enough information are too pushydemanding or are not able to' 'convince us that it is a viable and practical attack on the web server itself' 'may be deferred to a later time or possibly ignored depending on available' 'resources Priority will be given to credible responsible reports that are' 'constructive specific and actionable We get a lot of invalid reports' 'Thank you for understanding' 'When you are ready please email Matt Holt the author directly matt at' 'dyanim dot com' 'Please dont encrypt the email body It only makes the process more' 'complicated' 'Please also understand that due to our nature as an open source project we do' 'not have a budget to award security bounties We can only thank you' 'If your report is valid and a patch is released we will not reveal your' 'identity by default If you wish to be credited please give us the name to use' 'andor your GitHub username If you dont provide this we cant credit you' 'Thanks for responsibly helping Caddyand thousands of websitesbe more secure
swisskyrepo/PayloadsAllTheThings,,
x64dbg/x64dbg,Build' 'active' '13345794' 'Gitee sync' 'active' '17956436,
mitmproxy/mitmproxy,autofix.ci' 'active' '41682128' 'CI' 'active' '31035' 'Release' 'active' '38342147,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn             SSuuppppoorrtteedd' 'main branch         ' 'most recent release ' 'older releases      ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'We ask that you do not report security issues to our normal GitHub issue' 'tracker' 'If you believe youve identified a security issue with mitmproxy please report' 'it to mhils Kriechi andor cortesi via the email addresses listed on their' 'GitHub profiles' 'Once youve submitted an issue via email you should receive an acknowledgment' 'within  hours and depending on the action to be taken you may receive' 'further followup emails
trailofbits/algo,Lint Code Base' 'active' '2137949' 'Main' 'active' '354539' 'pages-build-deployment' 'active' '16818705,
digitalocean/nginxconfig.io,Deploy to DigitalOcean Spaces' 'active' '1442395' 'Test and deploy to GitHub Pages' 'active' '1442396' 'Test commit or pull request' 'active' '2733117' 'pages-build-deployment' 'active' '18012940,
OWASP/CheatSheetSeries,Build and deploy offline website' 'active' '397512' 'Identify old issues and PR' 'active' '408779' 'Markdown Link Check' 'active' '409880' 'Markdown Lint Check' 'active' '23190' 'Build website' 'active' '390191' 'pages-build-deployment' 'active' '16682403,
