author_repo,wf_contents,security_policy
supabase/supabase,Deno' 'active' '7619919' 'CodeQL' 'active' '7632830' 'Check Code with Prettier' 'active' '9283707' 'Studio Unit Tests' 'active' '17260538' 'Studio Build' 'active' '26640821' 'Snapshot Tests' 'active' '30587485' 'Snapshot Tests' 'active' '30818158' 'Publish to Image Registry' 'active' '32506515' 'Studio Lint' 'active' '33121172' 'Studio Typecheck' 'active' '33121173' 'Studio Checks' 'active' '33121472' 'Automatically fix typos' 'active' '38867580' 'Mirror Image' 'active' '42119041' 'reviewdog' 'active' '44291418' 'Tests' 'disabled_manually' '24380821,
appwrite/appwrite,CodeQL' 'active' '2516502' 'Linter' 'active' '27213809' 'PHPStan' 'active' '13000028' 'PHPStan' 'active' '13723648' 'Tests' 'active' '13749469,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' '  ' 'x  ' 'x   ' 'x   ' 'x   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'For security issues kindly email us at securityappwriteio instead of posting' 'a public issue in GitHub
kriasoft/react-starter-kit,PR' 'active' '9538604' 'conventionalcommits.org' 'active' '27666639,
pubkey/rxdb,build and push' 'active' '5247452' 'CI' 'active' '3775871' 'Prevent non-master commits to generated files' 'active' '37293679' 'Release' 'active' '24691849' 'pages-build-deployment' 'active' '16410418,
firebase/functions-samples,CI Tests' 'active' '4148145,vulnz for our intake and do coordination and disclosure here on GitHub' 'including using GitHub Security Advisory The Google Security Team will' 'respond within  working days of your report on gcovulnz
invertase/react-native-firebase,Label PR' 'active' '148944' 'Code Quality Checks' 'active' '1024868' 'Documentation' 'active' '1051247' 'Publish' 'active' '1091298' 'Testing' 'active' '1099495' 'PR Title is Conventional' 'active' '2282426' 'Create Test Patches' 'active' '2374591' 'Testing E2E Android' 'active' '8679371' 'Testing E2E iOS' 'active' '8679372' 'Mark stale issues and pull requests' 'active' '42302222,
firebase/quickstart-android,Android CI' 'active' '633576,vulnz for our intake and do coordination and disclosure here on GitHub' 'including using GitHub Security Advisory The Google Security Team will' 'respond within  working days of your report on gcovulnz
firebase/flutterfire,all_plugins' 'active' '1771730' 'cancel_previous' 'active' '1771731' 'firebase_firestore' 'active' '1771735' 'firebase_performance' 'active' '2024659' 'pr_title' 'active' '2862091' 'website' 'active' '9121214' 'firebase_firestore_odm' 'active' '14067327' 'e2e' 'active' '16195442' 'publish_old_docs' 'active' '25574452,vulnz for our intake and do coordination and disclosure here on GitHub' 'including using GitHub Security Advisory The Google Security Team will' 'respond within  working days of your report on gcovulnz
angular/angularfire,CodeQL' 'active' '4155934' 'Test and publish' 'active' '468313,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' '    ' '    ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please contact Firebase support and send ticket details to angularfire' 'maintainersgooglecom with SECURITY in the subject
microg/GmsCore,Build' 'active' '4858829' 'Debug APK Builder' 'active' '7034782,
Th3Wall/Fakeflix,Azure Static Web Apps CI/CD' 'active' '18991921,
firebase/FirebaseUI-Android,Android CI' 'active' '835972' 'Artifactory' 'active' '836238,vulnz for our intake and do coordination and disclosure here on GitHub' 'including using GitHub Security Advisory The Google Security Team will' 'respond within  working days of your report on gcovulnz
kriasoft/react-firebase-starter,,
firebase/firebase-js-sdk,Cross-Browser Test Flow' 'active' '395940' 'Test Modified Packages' 'active' '426542' 'Test All Packages' 'active' '430838' 'Health Metrics' 'active' '811380' 'Release' 'active' '1689574' 'Check Changeset' 'active' '2088676' 'Lint All Packages' 'active' '2253391' 'Canary Deploy' 'active' '2254512' 'Test Firestore' 'active' '2258699' 'Test Firebase Namespace' 'active' '2271934' 'Test Auth' 'active' '2272183' 'Test Firestore Integration' 'active' '2272349' 'Test @firebase/rules-unit-testing' 'active' '2309479' 'Prerelease manual deploy' 'active' '2711789' 'Label doc changes' 'active' '10677035' 'Assign tech writers' 'active' '11100462' 'Update API reports' 'active' '11571384' 'E2E Smoke Tests' 'active' '11674338' 'Log Release PR' 'active' '13131770' 'Formatting Check (Run yarn format locally if this fails)' 'active' '13421580' 'Health Metrics' 'active' '15207217' 'Health Metrics' 'active' '15214635' 'Merge Release Into Master' 'active' '25456228' 'Staging Release' 'active' '26700074' 'Create Release PR' 'active' '26926027' 'Production Release' 'active' '26935151' 'Test Package Paths' 'active' '27306957' 'Create Release PR' 'active' '27864289' 'Test Multiple Browsers for Analytics Package' 'active' '30193524' 'Test Auth Firefox' 'active' '32197117' 'Deploy Project Config' 'active' '32537472' '.github/workflows/release-tweet.yml' 'active' '37364286' 'Test FCM integration' 'disabled_manually' '2269253,vulnz for our intake and do coordination and disclosure here on GitHub' 'including using GitHub Security Advisory The Google Security Team will' 'respond within  working days of your report on gcovulnz
devias-io/material-kit-react,,
firebase/firebase-ios-sdk,core' 'active' '357812' 'check' 'active' '358598' 'dynamiclinks' 'active' '358599' 'storage' 'active' '390234' 'zip' 'active' '438538' 'firestore' 'active' '450365' 'datatransport' 'active' '467537' 'messaging' 'active' '635294' 'danger' 'active' '898800' 'firebasepod' 'active' '929560' 'symbolcollision' 'active' '929664' 'auth' 'active' '973965' 'crashlytics' 'active' '1146081' 'remoteconfig' 'active' '1164868' 'database' 'active' '1223932' 'functions' 'active' '1223933' 'abtesting' 'active' '1223934' 'inappmessaging' 'active' '1233562' 'installations' 'active' '1408977' 'spm' 'active' '1443395' 'performance' 'active' '1873789' 'performance-integration-tests' 'active' '1874301' 'appdistribution' 'active' '1953704' 'release' 'active' '1982543' 'prerelease' 'active' '2601232' 'archiving' 'active' '2679370' 'mlmodeldownloader' 'active' '2713013' 'generate_issues' 'active' '3796584' 'google-utilities-components' 'active' '3838046' 'cocoapods-integration' 'active' '3840054' 'test_coverage' 'active' '4041436' 'combine' 'active' '4896545' 'analytics' 'active' '5159440' 'watchos-sample' 'active' '7527787' 'app_check' 'active' '8374326' 'health_metrics' 'active' '12270670' 'update-cpp-sdk-on-release' 'active' '13139844' 'health-metrics-presubmit' 'active' '14045973' 'heartbeat_logging' 'active' '14075098' 'health-metrics-release' 'active' '14119452' 'spectesting' 'active' '16259560' 'shared-swift' 'active' '16686046' 'core_internal' 'active' '22265926' 'core_extension' 'active' '22354964' 'generate_notices' 'active' '24204772' 'generate_notices' 'active' '24502061' 'ftl-testing' 'active' '29885158' 'sessions' 'active' '36447199' 'sessions-integration-tests' 'active' '38359392,vulnz for our intake and do coordination and disclosure here on GitHub' 'including using GitHub Security Advisory The Google Security Team will' 'respond within  working days of your report on gcovulnz
rowyio/rowy,CodeQL' 'active' '5259246' 'Deploy to Preview Channel' 'disabled_manually' '17286650' 'tweet_releases' 'active' '10880762,
spacecloud-io/space-cloud,Gateway' 'active' '20745900' 'Go' 'active' '43666' 'Runner' 'active' '20745901' 'SpaceCLI' 'active' '20745899' 'SpaceCloud' 'active' '20708303' 'pages-build-deployment' 'active' '44493475,
ThreeDotsLabs/wild-workouts-go-ddd-example,,
vuejs/vuefire,Deploy Docs Preview on PR' 'active' '41085182' 'Deploy Docs' 'active' '40027608' 'Create Release' 'active' '3933873' 'test' 'active' '36799029,
FirebaseExtended/reactfire,Check if Reference Docs need to be regenerated' 'active' '4123292' 'Test and publish' 'active' '3840526,
CSFrequency/react-firebase-hooks,build' 'active' '16686449' 'build' 'active' '39488532,
alyssaxuu/mapus,,
labring/laf,links when pr' 'active' '42059243' 'links' 'active' '42193420' 'dockerize-runtime-nodejs' 'active' '42653040' 'build-sealos-cluster-image' 'active' '42675556' 'dockerize-controllers' 'active' '42675557' 'dockerize-server' 'active' '42675558' 'release' 'active' '42675559' 'build-scripts-updated' 'active' '42759038' 'dockerize-web' 'active' '42880982,
unicodeveloper/awesome-opensource-apps,,
prescottprue/react-redux-firebase,NPM Package Publish' 'active' '824459' 'Verify' 'active' '824390,
firebase/quickstart-ios,A/B Testing' 'active' '8869364' 'AdMob' 'active' '8869614' 'Analytics' 'active' '8869356' 'Authentication' 'active' '8869368' 'check' 'active' '10964264' 'Remote Config' 'active' '8869363' 'Crashlytics' 'active' '8869359' 'Database' 'active' '8869366' 'DynamicLinks' 'active' '8869367' 'Firestore' 'active' '4266475' 'Functions' 'active' '8869358' 'InAppMessaging' 'active' '8869365' 'Installations' 'active' '8869357' 'Messaging' 'active' '8869360' 'Performance' 'active' '8869362' 'Storage' 'active' '8869361,vulnz for our intake and do coordination and disclosure here on GitHub' 'including using GitHub Security Advisory The Google Security Team will' 'respond within  working days of your report on gcovulnz
fireship-io/fireship.io,Deploy to Firebase Hosting' 'active' '741603' 'Export Firestore Data' 'active' '1061231,
Canner/cannercms,,
TarikHuber/react-most-wanted,rmw-shell' 'active' '15058693' 'base-shell' 'active' '18087787' 'material-ui-shell' 'active' '18152559,
insin/react-hn,,
tylermcginnis/re-base,,
mdanics/fluttergram,,
jeffersonRibeiro/react-shopping-cart,,
WorldHealthOrganization/app,Server CI' 'active' '938322' 'Policy Check' 'active' '1062091' 'Client CI' 'active' '1827653' 'CodeQL' 'active' '1898368' 'Static Content CI' 'active' '2260332,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'HackerOne hosts our Vulnerability Disclosure Program VDP Do not post' 'sensitive security issues on the public GitHub but report them to the HackerOne' 'VDP instead' 'httpshackeronecomwhocovidmobileapp' 'HHaacckkiinngg SSeerrvveerr' 'Please do all security testing against the dedicated hackwhocoronavirusorg' 'server Follow the build instructions and append flavor hack to all build' 'commands to use it The following build command will deploy the app to Android' 'and iOS simulator or connected device pointing to the hack server' 'flutter run flavor hack' 'It should not be an issue if you break the hack server but please be thoughtful' 'in doing so Please keep treat any server data as confidential but by design it' 'shouldnt contain any private data Please be more careful with the other' 'whocoronavirusorg servers as theyre used for active development' 'DDooccuummeennttaattiioonn' '     Design Docs' '     Open Security Issues' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'As a managed service we expect to always run the server on a recent version' 'The mobile clients will be prompted to update as new features are released and' 'in the case of a security issue
google/santa-tracker-android,,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
onmyway133/PushNotifications,,
firebase/firebase-android-sdk,update-cpp-sdk-on-release' 'active' '13185420' 'just-a-test' 'active' '28261006' 'CI Tests (Experimental)' 'active' '28426387' 'fireci' 'active' '28426388' 'Copyright check' 'active' '28588065' 'build-src-check' 'active' '29234798' 'Health Metrics' 'active' '31290576' 'Smoke Tests' 'active' '31545411' 'FirePerf E2E Tests' 'active' '31707952' 'API Information' 'active' '31734304' 'Private Mirror Sync' 'active' '32291064' 'CI Tests' 'active' '32627447' 'danger' 'active' '33015557' 'Changelog' 'active' '33025469' 'Create release' 'active' '38365029' 'Build Release Artifacts' 'active' '39951284' 'Make BoM' 'active' '41310250' 'Diff Javadoc' 'active' '42402748' 'Jekyll with GitHub Pages' 'active' '42419006' 'Scorecards supply-chain security' 'active' '42524084' 'Merge to main' 'disabled_manually' '40114552,vulnz for our intake and do coordination and disclosure here on GitHub' 'including using GitHub Security Advisory The Google Security Team will' 'respond within  working days of your report on gcovulnz
karlhadwen/netflix,,
cerebral/cerebral,,
janoodleFTW/timy-messenger,,
thisbejim/Pyrebase,,
kreait/firebase-php,Tests' 'active' '392728' 'Integration Tests' 'active' '1186052' 'Emulator Tests' 'active' '24787039' 'Dependabot auto-merge' 'active' '37578584,
androiddevnotes/awesome-android-kotlin-apps,Update README' 'active' '3522821,
X-Wei/flutter_catalog,build-app' 'active' '3057630' 'pages-build-deployment' 'active' '17559646,
aslanyanhaik/Quick-Chat,,
evollu/react-native-fcm,,
firebase/codelab-friendlychat-web,,vulnz for our intake and do coordination and disclosure here on GitHub' 'including using GitHub Security Advisory The Google Security Team will' 'respond within  working days of your report on gcovulnz
chat-sdk/chat-sdk-android,,
kefranabg/bento-starter,Deploy on production' 'active' '777874,
