author_repo,wf_contents,security_policy
syl20bnr/spacemacs,Automatic Rebase' 'active' '378556' 'Mark stale issues and pull requests' 'active' '650679' 'elisp tests' 'active' '2406728,
doomemacs/doomemacs,Add issues to project' 'active' '25328443' 'Lint commits' 'active' '25458513' 'Mark stale issues and lock closed threads' 'disabled_manually' '11803469,
atlas-engineer/nyxt,Deb release' 'active' '29541554' 'Guix tests' 'active' '26730465' 'Build .rpm package for latest Fedora' 'active' '8756874' 'Releases' 'active' '13622332' 'Tests' 'active' '2983918,SSuuppppoorrtteedd VVeerrssiioonnss' 'Only the latest stable version is currently supported with security updates' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'helloatlasengineer
emacs-tw/awesome-emacs,CI' 'active' '12942738,
mickael-kerjean/filestash,,
magit/magit,manual' 'active' '18951474' 'stats' 'active' '21271876' 'test' 'active' '5258582,
bbatsov/prelude,Prelude CI' 'active' '24315144,
remacs/remacs,Linux standard build' 'active' '197246,
emacs-lsp/lsp-mode,Docs' 'active' '1179201' 'PR Labeler' 'active' '2598725' 'Lint' 'active' '6473610' 'CI' 'active' '1550741' 'pages-build-deployment' 'active' '16588134,
jwiegley/use-package,Main workflow' 'active' '31865710,
bbatsov/projectile,CI' 'active' '2274740' 'pages-build-deployment' 'active' '17498872,
clojure-emacs/cider,Spell Checking' 'active' '15664535' 'CI' 'active' '17029072,
emacs-helm/helm,pages-build-deployment' 'active' '28801313,
emacs-evil/evil,CI' 'active' '10410006,
emacs-eaf/emacs-application-framework,Sync EAF repos with mirror' 'active' '12200739,
radian-software/straight.el,CI' 'active' '22178037,
for-GET/know-your-http-well,,
flycheck/flycheck,,
200ok-ch/organice,,
abo-abo/swiper,CI' 'active' '10996305,
emacs-china/Spacemacs-rocks,pages-build-deployment' 'active' '17988903,
rougier/nano-emacs,,
doomemacs/themes,CI' 'active' '9696380' 'Mark stale issues and lock closed threads' 'active' '13247523' 'Add issues to project' 'active' '24634621' 'Lint commits' 'disabled_manually' '25444565,
Alexander-Miller/treemacs,CI Build' 'active' '25425094,
