author_repo,wf_contents,security_policy
nim-lang/Nim,SSL CI' 'active' '807311' 'Nim Docs CI' 'active' '890403' 'Packages CI' 'active' '1139176' 'GCC 4 CI' 'active' '10067126' 'pages-build-deployment' 'active' '16419920' 'Tracking orc-booting compiler memory usage' 'active' '29150792,
zedeus/nitter,CI/CD' 'active' '5225548,
kaitai-io/kaitai_struct,,
Dav1dde/glad,glad2' 'active' '11328807,
dom96/jester,tests' 'active' '10984372,
nim-lang/nimble,.github/workflows/test.yml' 'active' '3744325,
mratsim/Arraymancer,Arraymancer CI' 'active' '10977822' 'pages-build-deployment' 'active' '25637716,
planety/prologue,Test Prologue' 'active' '484594' 'github pages' 'active' '2702252' 'pages-build-deployment' 'active' '17232549,
yglukhov/nimx,,
aduros/wasm4,Build' 'active' '14436986,
nim-lang/nimforum,CI' 'active' '8425244,
Pebaz/nimporter,Dev Branch Tests' 'active' '14836859' 'Run All Tests' 'active' '1014232' 'Type Checking & Poetry Build' 'active' '14889647' 'Publish New Release To PyPI' 'active' '14968071' 'Semgrep' 'active' '20686722' 'pages-build-deployment' 'active' '16896388,
VPashkov/awesome-nim,,
codic12/worm,build' 'active' '15715217' 'pages-build-deployment' 'active' '16478144,
ringabout/awesome-nim,.github/workflows/main.yml' 'active' '8512527,
simonkrauter/NiGui,test' 'active' '1430245,
dom96/nimkernel,,
dom96/choosenim,Build and upload binary' 'active' '25304070,
arnetheduck/nlvm,Continuous' 'active' '15003182,
inim-repl/INim,Nim CI' 'active' '1020554,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please open an issue on the repo If you consider the vulnerability' 'confidential email tris at atmancom
brentp/mosdepth,Build' 'active' '1258406,
frol/completely-unscientific-benchmarks,,
status-im/nimbus-eth1,Nimbus CI' 'active' '4986480' 'fluffy CI' 'active' '10830891' 'Fluffy nightly Docker build' 'active' '44430614' 'Light client proxy CI' 'active' '34946731' 'Nightly build' 'active' '22926043' 'Nimbus verified proxy CI' 'active' '41289568' 'Upload Release Asset' 'active' '22700836' 'Simulators' 'active' '24588932,
ftsf/nico,Generate docs' 'active' '36491397' 'test' 'active' '1633852' 'pages-build-deployment' 'active' '36571190,
aeverj/NimShellCodeLoader,,
py2many/py2many,Cancelling previous actions runs.' 'active' '9310002' 'Clippy check' 'active' '9346554' 'CI' 'active' '7924034,
fox0430/moe,Tests' 'active' '3302722' 'Build' 'active' '12647380' 'CFF' 'active' '40955003' 'Release' 'active' '42007915' 'Scriv' 'active' '42301898' 'Tests' 'active' '12647381' 'pages-build-deployment' 'active' '16415634,
pragmagic/godot-nim,,
sinkingsugar/nimtorch,,
adeemm/WinAPI-Fun,,
dom96/Aporia,,
nim-lang/packages,.github/workflows/test.yml' 'active' '4199969,
status-im/nimbus-eth2,CI' 'active' '2629353' 'Upload Release Asset' 'active' '3423447' 'Daily' 'active' '9182285' 'Nightly build' 'active' '10189402' 'Unit Test Results' 'active' '14612100,
calebwin/pipelines,,
dom96/httpbeast,tests' 'active' '2524716,
nimgl/nimgl,,
bluenote10/NimData,ci' 'active' '10179195,
nimterop/nimterop,,
moigagoo/norm,Deploy Docs' 'active' '13666601' 'Run Tests' 'active' '13665874' 'pages-build-deployment' 'active' '16932956,
hanabi1224/Programming-Language-Benchmarks,bench' 'active' '6442442' 'bench_test' 'active' '6444684' 'Cancel stale workflows' 'active' '22417073' 'site' 'active' '6442251,
elddy/NimScan,,
d4rckh/vaf,Build and Release' 'active' '23888042,
jschlatow/taskopen,,
johnnovak/illwill,,
h3rald/min,Add artifacts to current release' 'active' '8456806' 'CI' 'active' '4116402,
StefanSalewski/gintro,,
zevv/npeg,,
status-im/nim-chronos,CI' 'active' '4483866' 'Docgen' 'active' '34152018,
costajob/app-servers,,
andreaferretti/patty,,
dsrw/enu,Build on Linux' 'active' '32402904' 'Build on macOS' 'active' '29188012' 'Build on Windows' 'active' '29757228,
pragmagic/vscode-nim,,
netease-kit/NIM_PC_Demo,MSBuild' 'active' '8580798,
xyproto/sdl2-examples,Close stale issues and PRs' 'active' '12064796' 'sdl2-examples' 'active' '12064797,
andreaferretti/neo,pages-build-deployment' 'active' '17079313,
itsumura-h/nim-basolato,Build and test Nim' 'active' '300613' 'labeler' 'active' '10353970,
fragworks/frag,,
andreaferretti/rosencrantz,,
docopt/docopt.nim,CI' 'active' '2885116,
status-im/nim-libp2p,Bumper' 'active' '28326100' 'CI' 'active' '4177462' 'nim-libp2p codecov builds' 'active' '3463426' 'Docgen' 'active' '25746287' 'Daily' 'active' '13006504,
HuskyHacks/ShadowSteal,,
status-im/status-desktop,,
guzba/zippy,Github Actions' 'active' '2990070,
can-lehmann/owlkettle,test' 'active' '24794215,
june07/NiM,CodeQL' 'disabled_inactivity' '16295029,
icyphox/nicy,website' 'active' '2012982,
h3rald/hastyscribe,Add Artifacts to Current Release' 'active' '8298325' 'CI' 'active' '8298326,
nitely/nim-regex,CI' 'active' '3361188' 'pages-build-deployment' 'active' '18292871,
xmonader/nimdays,,
dom96/nim-in-action-code,,
Yardanico/nimpylib,Build' 'active' '1023514,
ChristianMurphy/compile-to-web,,
alaviss/nim.nvim,CI' 'active' '817973,
krisppurg/dimscord,pages-build-deployment' 'active' '18023047,
exelotl/natu,,
Niminem/Neel,,
flyx/NimYAML,Test nimYAML' 'active' '13509704,
vitreo12/omni,Omni - Test Suite' 'active' '6269510,
SciNim/nim-plotly,plotly CI' 'active' '14800128' 'pages-build-deployment' 'active' '29598496,
Vladar4/nimgame2,,
jangko/nimpdf,nimPDF CI' 'active' '4299326,
nim-works/cps,CI' 'active' '2350058' 'pages-build-deployment' 'active' '17097884,
liquidev/rapid,,
jmgomez/NimForUE,,
ThomasTJdev/nim_websitecreator,Build NimWC 👑' 'active' '52900' 'Build NimWC release 👑' 'active' '4442844,
zacharycarter/zengine,,
brentp/hts-nim,pages-build-deployment' 'active' '17737189,
juancarlospaco/nodejs,Build' 'active' '4316320' 'pages-build-deployment' 'active' '16626372' 'Pull Request AntiSpamm' 'active' '16818579' 'Stale Issues & PRs' 'active' '16818580' 'Add Stars' 'active' '19924371' 'Welcome New Users' 'active' '19925152' 'TODO to Issue' 'active' '19925836,
disruptek/nimph,CI' 'active' '4527542' 'pages-build-deployment' 'active' '22285873,
cheatfate/nimcrypto,nimcrypto' 'active' '10552577' 'pages-build-deployment' 'active' '29601380,
Vladar4/sdl2_nim,,
ba0f3/telebot.nim,,
filcuc/nimqml,CI' 'active' '15491617,
bluenote10/NimSvg,ci' 'active' '2363240,
andreaferretti/linear-algebra,,
PMunch/protobuf-nim,,
elcritch/nesper,,
Lisprez/so_stupid_search,Rust' 'active' '366599,
guzba/mummy,Github Actions' 'active' '40820840,
stisa/jupyternim,Check and update tag' 'active' '2034594' 'Build jupyternim' ' check display.nim' 'active' '1956971' 'pages-build-deployment' 'active' '16590193,
