author_repo,wf_contents,security_policy
microsoft/ML-For-Beginners,Mark stale issues and pull requests' 'active' '16091872' 'pages-build-deployment' 'active' '16480870' 'Lock closed issue' 'active' '21407783' 'Azure Static Web Apps CI/CD' 'active' '30467634,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
apache/spark,Close stale PRs' 'active' '36644' 'master' 'active' '164376' 'Report test results' 'active' '2195760' 'Build and test' 'active' '2232286' 'On pull requests' 'active' '3393847' 'Publish Snapshot' 'active' '4074239' 'Cancelling Duplicates' 'active' '4831855' 'Run benchmarks' 'active' '7455792' 'On pull request update' 'active' '7972473' 'Update build status workflow' 'active' '8236437' 'Build and test (ANSI)' 'active' '22241501' 'Build / ANSI (master' ' Hadoop 3' ' JDK 8' ' Scala 2.12)' 'active' '28614389' 'Build (branch-3.2' ' Scala 2.13' ' Hadoop 3' ' JDK 8)' 'active' '28614390' 'Build (branch-3.3' ' Scala 2.13' ' Hadoop 3' ' JDK 8)' 'active' '28614391' 'Build / Coverage (master' ' Scala 2.12' ' Hadoop 3' ' JDK 8)' 'active' '28614392' 'Build (master' ' Scala 2.12' ' Hadoop 2' ' JDK 8)' 'active' '28614393' 'Build (master' ' Scala 2.12' ' Hadoop 3' ' JDK 11)' 'active' '28614394' 'Build (master' ' Scala 2.12' ' Hadoop 3' ' JDK 17)' 'active' '28614395' 'Build' 'active' '28614396' 'Build (master' ' Scala 2.13' ' Hadoop 3' ' JDK 8)' 'active' '28614397' 'Build / Cache base image' 'active' '29661594,
oracle/graal,GraalVM Gate' 'active' '3653091' 'Nightly quarkus tests' 'active' '2243394,The GraalVM team values the independent security research community and' 'believes that responsible disclosure of security vulnerabilities in GraalVM' 'Community Edition as well as GraalVM Enterprise Edition helps us ensure the' 'security and privacy of all our users' 'If you believe you have found a security vulnerability please submit a report' 'to secalertusoraclecom preferably with a proof of concept Please refer to' 'Reporting Vulnerabilities for additional information including our public' 'encryption key for secure email We ask that you do not contact project' 'contributors directly or through other channels about a report' 'SSeeccuurriittyy UUppddaatteess AAlleerrttss aanndd BBuulllleettiinnss' 'GraalVM Community Edition security updates will be released on a quarterly' 'basis in conjunction withe GraalVM Enterprise Edition security updates that are' 'part of the Oracle Critical Patch Update program Security updates are released' 'on the Tuesday closest to the th day of January April July and October A' 'prerelease announcement will be published on the Thursday preceding each' 'Critical Patch Update release For additional information including past' 'advisories please refer to Security Alerts' 'SSeeccuurriittyyRReellaatteedd IInnffoorrmmaattiioonn' 'Please refer to the GraalVM Security Guide for security related topics such as' 'how to support trusted and less trusted code execution using the Truffle' 'language framework or compiler mitigations for transitive execution attacks' 'However please note that we do not currently support the execution of untrusted' 'or adversarial code Nonvulnerability related security issues may be discussed' 'on GitHub Issues or the Security channel in the GraalVM Slack Workspace
plotly/dash,,
facebook/prophet,Build' 'active' '4769728' 'Create Python distributions and upload to PyPI' 'active' '12619023' 'pages-build-deployment' 'active' '16884300,Please do not open GitHub issues or pull requests  this makes the problem' 'immediately visible to everyone including malicious actors Security issues in' 'this open source project can be safely reported via the Meta Bug Bounty' 'program' 'httpswwwfacebookcomwhitehat' 'Metas security team will triage your report and determine whether or not is it' 'eligible for a bounty under our program
microsoft/LightGBM,GitHub Actions' 'active' '186036' 'CUDA Version' 'active' '2781841' 'R-package' 'active' '2827841' 'R valgrind tests' 'active' '3028288' 'Triggering comments' 'active' '3491671' 'Python-package' 'active' '4642135' 'Static Analysis' 'active' '4692983' 'Optional checks' 'active' '4773153' 'Link checks' 'active' '5489403' 'R generate configure' 'active' '7340926' 'No Response Bot' 'active' '23366600,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
FavioVazquez/ds-cheatsheets,,
kanaka/mal,Build and Test' 'active' '8232040' 'pages-build-deployment' 'active' '16473254,
wowchemy/wowchemy-hugo-themes,Continuous Integration' 'active' '3232959' 'CodeQL' 'active' '5230526' 'Package Splitter' 'active' '19532625' 'Close stale issues and PRs' 'active' '9300175,
catboost/catboost,,
