author_repo,wf_contents,security_policy
github/hub,CI' 'active' '57158' 'Release' 'active' '419100,Note that unlike the GitHub CLI hub is nnoott an eligible target for the GitHub' 'Bug Bounty program
tipsy/profile-summary-for-github,,
lowlighter/metrics,Stale issues' ' pr and runs' 'active' '4564345' 'Label issue and pull requests' 'active' '4814910' 'Clean untagged docker images' 'active' '15300726' 'Publish examples' 'active' '17985481' 'Build' ' test and analyze' 'active' '18017982' 'Continuous integration' 'active' '18018748' 'Check automated branches' 'active' '18356009' 'Publish examples (presets)' 'active' '18724566' 'Test (presets)' 'active' '18727840' 'Check Spelling' 'active' '33315792,To report a vulnerability simply open an issue Well try to patch it quickly
rzashakeri/beautify-github-profile,,
google/go-github,linter' 'active' '11505737' 'tests' 'active' '56406,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
devhubapp/devhub,,
donnemartin/gitsome,,
github-changelog-generator/github-changelog-generator,,
PyGithub/PyGithub,CI' 'active' '1903133' 'Publish to PyPI' 'active' '2008038,
michenriksen/gitrob,,
manosim/gitify,Build App' 'active' '540773' 'Release App' 'active' '558552' 'Run Tests' 'active' '540774,
octokit/octokit.rb,Octokit CI' 'active' '162540' 'Add PRs and issues to Octokit org project' 'active' '42518495' 'CodeQL' 'active' '26994431' 'CI' 'active' '935573' 'Octokit CI' 'active' '22769,Thanks for helping make GitHub Open Source Software safe for everyone' 'GitHub takes the security of our software products and services seriously' 'including all of the open source code repositories managed through our GitHub' 'organizations such as Octokit' 'Even though open source repositories are outside of the scope of our bug bounty' 'program and therefore not eligible for bounty rewards we want to make sure' 'that your finding gets passed along to the maintainers of this project for' 'remediation' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Since this source is part of Octokit a GitHub organization we ask that you' 'follow the guidelines here to report anything that you mightve found
nslogx/Gitter,,
eth0izzle/shhgit,Go' 'active' '1679921' '.github/workflows/release.yml' 'active' '4057474,
async-labs/builderbook,,
actions/github-script,Check dist/' 'active' '12083133' 'CI' 'active' '649856' 'CodeQL' 'active' '28278841' 'Integration' 'active' '649888' 'Licensed' 'active' '2124849' 'Pull Request Test' 'active' '1470433' 'Stale Issues & PRs' 'disabled_manually' '2237095,GitHub Security Bug Bounty' 'Thanks for helping make GitHub Actions safe for everyone
QasimWani/LeetHub,,
jonan/ForkHub,,
leonhartX/gas-github,,
KnpLabs/php-github-api,BC check' 'active' '7213186' 'CI' 'active' '3441570,
AntBranch/awesome-github,,
jstrieb/github-stats,Generate Stats Images' 'active' '2183425,
ming1016/SwiftPamphletApp,Build Package' 'active' '16492454,
coderyi/Monkey,,
jaywcjlove/github-rank,Build & Deploy' 'active' '41635' 'GitHub Actions Build and Deploy' 'active' '225235' 'pages-build-deployment' 'active' '16397985' 'CI' 'active' '29665426,
debugger22/github-audio,,
avgupta456/github-trends,CI-Backend' 'active' '6227393' 'CI-Frontend' 'active' '6227394,
the-road-to-graphql/react-graphql-github-apollo,,
XPoet/picx,deploy' 'active' '6565273' 'pages-build-deployment' 'active' '16892881,
GitHub-Laziji/VBlog,,
MinhasKamal/DownGit,pages-build-deployment' 'active' '33851396,
BishopFox/GitGot,,
kezhenxu94/mini-github,,
pksunkara/octonode,CI' 'active' '3360498,
sigmavirus24/github3.py,Python tests' 'active' '2580403' 'CodeQL' 'active' '20304149' 'Labeler' 'active' '4767739' 'Tests' 'active' '14777536,
piotrmurach/github,,
harshjv/github-repo-size,,
hub4j/github-api,Java CI Build and Test' 'active' '172260' 'CodeQL' 'active' '7729513' 'CI' 'active' '21896' 'Release Drafter' 'active' '9032355' 'pages-build-deployment' 'active' '20931909,
caarlos0/starcharts,build' 'active' '1675728' 'goreleaser' 'active' '11467236,
useful-forks/useful-forks.github.io,useful-forks-website' 'active' '7259011' 'pages-build-deployment' 'active' '20403035,
mxstbr/micro-github,,
huchenme/github-trending-api,,
pascalgn/automerge-action,automerge' 'active' '6619098' 'pages-build-deployment' 'active' '17397500,
thelittlewonder/gitstalk,,
2016rshah/githubchart-api,,
Jarred-Sumner/git-peek,,
brminnick/GitTrends,Daily code format check' 'active' '15231085,
peter-evans/repository-dispatch,Repository Dispatch' 'active' '120259' 'CI' 'active' '1176587' 'Slash Command Dispatch' 'active' '1377325' 'Auto-merge Dependabot' 'active' '42535637' 'Test Dispatch' 'active' '43604580,
amfoss/GitLit,,
arifszn/gitprofile,pages-build-deployment' 'active' '17181840' 'Deploy to GitHub Pages' 'active' '22174827' 'Test Deployment' 'active' '22177067,
himynameisdave/git-labelmaker,,
gousiosg/github-mirror,,
iBug/This-Repo-Has-512-Stars,,
bchiang7/octoprofile,,
bellingcat/octosuite,CodeQL' 'active' '29098964' 'Upload Python Package' 'active' '28204631,
BuildAPKs/buildAPKs,Greetings' 'active' '7338' 'Labeler' 'active' '105539' 'Mark stale issues and pull requests' 'active' '35874' 'pages-build-deployment' 'active' '17931891,
fastai/ghapi,tweet' 'active' '4102400' 'pages-build-deployment' 'active' '18724072' 'Deploy to GitHub Pages' 'active' '30978746,
nerdishbynature/octokit.swift,RequestKit CI' 'active' '5008480,
philschatz/octokat.js,,
whiteinge/ok.sh,Run Tests' 'active' '11960548,
simplesteph/kafka-connect-github-source,,
AykutSarac/github-rater,pages-build-deployment' 'active' '17400628,
ishandeveloper/github-wrapped,,
abskmj/hukum,Mirror to Gitlab' 'active' '1897345' 'Publish NPM Package' 'active' '1789878,
FluentHub/FluentHub,Labeler' 'active' '29425926' 'Build FluentHub' 'active' '26883165' 'FluentHub CI for PR' 'active' '37849312' 'Spell Check Action' 'active' '26882472,
Ullaakut/astronomer,,
artzub/GitHubVisualizer,,
microsoft/ghcrawler,,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
simonw/simonw,Build README' 'active' '1841822,
huchenme/hacker-tab-extension,Cypress Test' 'active' '755967' 'Unit test and build' 'active' '798967,
justjavac/auto-green,ci' 'active' '2397501,
bobheadxi/deployments,cleanup' 'active' '20395249' 'integration tests' 'active' '10853979' 'pipeline' 'active' '6059417' 'publish@v1' 'active' '20395250,
SDRausty/buildAPKs,Greetings' 'active' '406402' 'Labeler' 'active' '795284' 'Mark stale issues and pull requests' 'active' '36559' 'pages-build-deployment' 'active' '20409659,
skydoves/GithubFollows,,
AdiChat/Repository-Hunter,,
softprops/hubcaps,on pull request merge' ' delete the branch' 'active' '130588' 'Main' 'active' '1681154' 'pages-build-deployment' 'active' '19257095,
jcabi/jcabi-github,codecov' 'active' '29645109' 'mvn' 'active' '29645110' 'pdd' 'active' '33315866' 'xcop' 'active' '33315867' 'pages-build-deployment' 'active' '29977173,
dogsheep/github-to-sqlite,Build and deploy demo' 'active' '839819' 'Publish Python Package' 'active' '2237656' 'Update README table of contents' 'active' '1977874' 'Test' 'active' '2237657,
Molunerfinn/node-github-profile-summary,,
piotrmurach/github_cli,,
caarlos0/fork-cleaner,build' 'active' '4975981' 'golangci-lint' 'active' '27355668,
mdiep/Tentacle,.github/workflows/cibuild.yml' 'active' '1101164,
dvershinin/lastversion,CodeQL' 'active' '4963774' 'Deploy docs' 'active' '11313840' 'Python package' 'active' '902094' 'Upload Python Package' 'active' '902184' 'Build RPM Package' 'active' '22082111' 'pages-build-deployment' 'active' '19523694,
mubaris/curiosity,,
rahul-jha98/github-stats-transparent,Generate Stats Images' 'active' '4942738,
irevenko/octotui,,
Codennnn/Green-Wall,,
usmakestwo/githubDB,,
orgmanager/orgmanager,,
ansible/ansibullbot,,
r-lib/gh,R-CMD-check' 'active' '1994355' 'pkgdown' 'active' '1993564' 'Commands' 'active' '1994356' 'test-coverage' 'active' '1994357' 'pages-build-deployment' 'active' '23484700,
LABHR/octohatrack,,
sindresorhus/gh-got,CI' 'active' '4642210,
aalok05/CodeHub,,
wenghengcong/BeeFun-Pro,,
onestlatech/onestlatech.github.io,github pages' 'active' '21313' 'pages-build-deployment' 'active' '32311752,
MA-Ahmad/myPortfolio,,
caarlos0/org-stats,build' 'active' '11221838' 'generate' 'active' '11274642' 'goreleaser' 'active' '11221839' 'lint' 'active' '11221840,
nytimes/Chronicler,,
barisesen/github-timeline,,
