author_repo,wf_contents,security_policy
ryanoasis/nerd-fonts,Create Casks PR' 'active' '43057539' 'Docker release' 'active' '8310783' 'Font-Patcher' 'active' '15980193' 'PackSVGs' 'active' '35257287' 'Update gh-pages' 'active' '37791882' 'Release' 'active' '16867082' 'pages-build-deployment' 'active' '17450214,
neutraltone/awesome-stock-resources,,
akveo/eva-icons,,
Remix-Design/RemixIcon,Npm Publish' 'active' '501255' 'pages-build-deployment' 'active' '38313918,
mikepenz/Android-Iconics,CI' 'active' '410988,
ecomfe/fontmin,,
refscn/rplibs,,
atisawd/boxicons,pages-build-deployment' 'active' '21336515,
keremciu/sketch-iconfont,,
coreui/coreui-icons,,
phosphor-icons/phosphor-home,,
home-assistant/Iconic,,' 'You can find the Home Assistant security policy guidelines herehttps' 'wwwhomeassistantiosecurity
dongjunkun/GanK,,
ForkAwesome/Fork-Awesome,,
brabadu/awesome-fonts,,
vkarampinis/awesome-icons,Scheduled Test' 'active' '153726' 'Test' 'active' '97697' 'Scheduled Test' 'active' '7778,
leungwensen/svg-icon,,
pfefferle/openwebicons,,
juliettef/IconFontCppHeaders,,
jpswalsh/academicons,pages-build-deployment' 'active' '19748133,
phosphor-icons/phosphor-react,CI' 'active' '1985271,
kenangundogan/fontisto,,
thomaspark/glyphsearch,pages-build-deployment' 'active' '23991620,
andrewgioia/keyrune,pages-build-deployment' 'active' '18855622,
victor-valencia/bootstrap-iconpicker,,
lvwzhen/iconpark,,
jaywcjlove/svgtofont,Build' 'active' '2206070' 'pages-build-deployment' 'active' '17726765,
lukas-w/font-logos,,
PrestaShop/prestashop-icon-font,,
ccforward/rubik,,
phosphor-icons/phosphor-icons,,
pluwen/awesome-iconjar,,
XiangWuShuo/EFIconFont,,
Pythonity/icon-font-to-png,,
JohnWong/IconFont,,
framework7io/framework7-icons,,
jeerbl/webfonts-loader,Mark stale issues and pull requests' 'active' '2597542' 'Dependency Review' 'active' '33196877' 'CodeQL' 'active' '33196911' 'OSSAR' 'active' '33196939' 'CodeQL' 'active' '33196998,
simplelineicons/simplelineicons.github.io,pages-build-deployment' 'active' '17060956,
akabekobeko/redmine-theme-minimalflat2,,
tagliala/vectoriconsroundup,,
uiwjs/icons,GitHub Actions Build and Deploy icons' 'active' '1218799' 'pages-build-deployment' 'active' '19640169,
file-icons/DevOpicons,,
phosphor-icons/phosphor-vue,,
Richard9394/MingCute,,
joielechong/MaterialFancyButtons,,
jantimon/iconfont-webpack-plugin,CI' 'active' '5767451,
hwding/android-art,,
xpressengine/XEIcon,,
seiyria/gameicons-font,Update Icons' 'active' '19350214' 'pages-build-deployment' 'active' '19434926,
olimsaidov/pixeden-stroke-7-icon,,
EFPrefix/EFIconFont,deploy' 'active' '10891842' 'monthly' 'active' '11076996' 'pages-build-deployment' 'active' '23946076,
jrvansuita/IconHandler,,
isneezy/open-weather-icons,,
phosphor-icons/phosphor-flutter,,
file-icons/MFixx,,
Haonancx/chart-type-icon,,
Warhammer40kGroup/wh40k-icon,,
by-syk/NanoIconPackLite,,
ElfSundae/IconFontKit,,
orchidsoftware/icons,,
ganl/vue-icon-font,,
JunaidQadirB/font-os,,
lurado/SansFonts,,
IconKit/IconKit,,
uiwjs/file-icons,Build and Deploy' 'active' '2701095' 'pages-build-deployment' 'active' '21485588,
Nebukam/mkfont,pages-build-deployment' 'active' '22674912,
FantasticLBP/IconFont_Demo,,
Xiaoye220/JustIconFont,,
owlling/olicons,,
idleberg/atom-icon-fonts,Stale issues and PR' 'disabled_inactivity' '11438790,
rakugoteam/Godot-Material-Icons,,
artcoholic/akar-icons-fonts,Node.js Package' 'active' '11990237,
hsjcom/SodierEmojiKeyBoardPlus,,
kdydesign/fontagon,,
thudugala/Plugin.Glypher,,SSuuppppoorrtteedd VVeerrssiioonnss' 'Use this section to tell people about which versions of your project are' 'currently being supported with security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' 'xx   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Use this section to tell people how to report a vulnerability' 'Tell them where to go how often they can expect to get an update on a reported' 'vulnerability what to expect if the vulnerability is accepted or declined' 'etc
ojdx/react-font-face,,
poposnail61/min-icon,,
afkcodes/flutter_phosphor_icons,,
akabekobeko/redmine-theme-minimalflat,,
ebiwd/EBI-Icon-fonts,,
cdalvaro/docker-nerd-fonts-patcher,Build and publish Docker image' 'active' '33357829' 'Build and test Docker image' 'active' '33457718' 'Lint Code' 'active' '33357828' 'Publish Docker image' 'active' '33483161,
drygnet/stenciljs-icons-example,,
ranesr/EmojiOne,,
lightvue/light-icons,,
uilibrary/neon-icon,,
lugolabs/iconly,,
thecreation/brand-icons,,
sjy/symbols4sketch,,
2nthony/vue-remix-icons,CI' 'active' '32789094,
navjotahuja92/awesome-free-stuff,,
siemens/ix-icons,build' 'active' '35325433' 'pre-publish' 'active' '35356463' 'publish' 'active' '35344439,If you believe you have found a security vulnerability in iX we encourage you' 'to let us know right away We will investigate all legitimate reports and do' 'our best to quickly fix the problem
tokimari/svg2webfont,,
joshuapolok/Xamarin-Font-Icons,,
iuap-design/iuap-design-language,,
Joehaivo/icon-font-viewer,,
guocaoyi/IconPub,,
vasiliyaltunin/chess-merida-font,,
kidney/postcss-iconfont,,
Kentico/kentico-icons,,
Correia-jpv/fucking-awesome-stock-resources,,
