author_repo,wf_contents,security_policy
flameshot-org/flameshot,Building(CMake)' 'active' '2447173' 'test-clang-format' 'active' '2447174' 'Packaging(Windows)' 'active' '2551682' 'Packaging(Linux)' 'active' '2551683' 'Packaging(MacOS)' 'active' '4791166' 'Deploy developer docs' 'active' '43395486,
Swordfish90/cool-retro-term,ci' 'active' '22977560,
matplotlib/matplotlib,CircleCI artifact handling' 'active' '699309' 'Linting' 'active' '1027331' '.github/workflows/wheels.yml' 'active' '1587056' 'Build CI wheels' 'active' '2172272' 'Tests' 'active' '3884638' 'PR Greetings' 'active' '4454556' 'PR cleanliness' 'active' '14196571' 'CodeQL' 'active' '19687348' 'Upload nightly wheels to Anaconda Cloud' 'active' '22980749' 'Build CI sdist and wheel' 'active' '30538859' 'Maintenance' 'active' '37746495,SSuuppppoorrtteedd VVeerrssiioonnss' 'The following table lists versions and whether they are supported Security' 'vulnerability reports will be accepted and acted upon for all supported' 'versions' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x   ' 'x   ' 'x   ' 'x   ' '    ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a security vulnerability please use the Tidelift security contact' 'Tidelift will coordinate the fix and disclosure' 'If you have found a security vulnerability in order to keep it confidential' 'please do not report an issue on GitHub' 'We do not award bounties for security vulnerabilities
SFTtech/openage,macOS-CI' 'active' '52361' 'Windows Server 2019 CI' 'active' '14144382' 'Windows Server 2022 CI' 'active' '14144383' 'Ubuntu 22.04 CI' 'active' '27273451,If you would like to report a security problem in an SFT project please write' 'an email to' 'security ät sft dawt mx' 'You can also join our Matrix chat at sfttechmatrixorg and have a more' 'interactive conversation with us' 'In turn we can reward you with Internet Points of Honor and increase your' 'karma reliably
PySimpleGUI/PySimpleGUI,pages-build-deployment' 'active' '16635982,
therecipe/qt,,
mapeditor/tiled,Compile on latest Ubuntu' 'active' '199997' 'Compile on latest macOS (Homebrew)' 'active' '489700' 'CodeQL' 'active' '1892238' 'Compile on Ubuntu 20.04' 'active' '3114915' 'Build Packages' 'active' '3218520' 'Build Manual' 'active' '16591436' 'pages-build-deployment' 'active' '17499574' 'Upload to itch.io' 'active' '28731976' 'Compile on latest Ubuntu' 'disabled_manually' '1108,
jopohl/urh,Linux' 'active' '1097876' 'Windows' 'active' '1099581' 'CI' 'active' '20345322' 'macOS' 'active' '20370929,
musescore/MuseScore,CI_vtests' 'active' '615610' 'CI_Windows' 'active' '2587986' 'CI_Linux' 'active' '2587987' 'CI_MacOS' 'active' '2587988' 'CI_vtests' 'active' '2822907' 'CI_Linux MU4' 'active' '2859429' 'CI_MacOS MU4' 'active' '2859430' 'CI_Windows MU4' 'active' '2859431' 'CI_Run_lupdate_to_tx' 'active' '3110520' 'CI_Run_tx2s3' 'active' '3129424' 'CI_codestyle' 'active' '4554973' 'CI_utests' 'active' '4594809' 'CI_Backend' 'active' '19723071' 'CI_Without Qt' 'active' '30389577' 'Collect release info' 'active' '34068270' 'Clear release info' 'active' '40902149,
barry-ran/QtScrcpy,MacOS' 'active' '614458' 'Ubuntu' 'active' '650829' 'Windows' 'active' '595297,
qutebrowser/qutebrowser,Bleeding-edge CI' 'active' '7049468' 'CI' 'active' '1770442' 'Code scanning' 'active' '1571214' 'Rebuild Docker CI images' 'active' '3838639' 'Nightly builds' 'active' '28684567' 'Update dependencies' 'active' '1742713,is desired contact methecompilerorg with GPG ID xEBCFDA' 'Alternatively report a vulnerability via GitHubs private reporting feature
nodegui/nodegui,documentation' 'active' '2641369' '.github/workflows/latest.yml' 'active' '23363' 'Build and Deploy to npm' 'active' '11171812' '.github/workflows/test.yml' 'active' '23361' 'pages-build-deployment' 'active' '16931641,
spyder-ide/spyder,Close duplicate issues' 'active' '666750' 'File tests' 'active' '995340' 'Linux tests' 'active' '995341' 'Mac tests' 'active' '995343' 'Win tests' 'active' '995344' 'Chatops Binder' 'active' '2005724' 'Create Windows Installer' 'active' '2832344' 'Create macOS App Bundle and DMG' 'active' '3051407' 'Black tests' 'active' '31369207' 'Create conda-based installers for Windows' ' macOS' ' and Linux' 'active' '35611983,
visualfc/liteide,,
olive-editor/olive,CI' 'active' '2561549,
nodegui/react-nodegui,documentation' 'active' '2641111,
dail8859/NotepadNext,Build Notepad Next' 'active' '4576802' 'Codespell' 'active' '40184576' 'Post Release' 'active' '25207783,
moonlight-stream/moonlight-qt,,
qTox/qTox,Build' ' test' ' and deploy' 'active' '17647834' 'Commit Format' 'active' '13476291,SSuuppppoorrtteedd VVeerrssiioonnss' 'The latest release of qTox is supported Any security fix will be added to a' 'new version on top of it' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report vulnerabilities by Tox to anthonybilinski and sudden If thats' 'not an option please email meabilinski with GPG fingerprint EB FE ' 'E B D EBE E A B and suddengmxat with GPG fingerprint DA' 'CC CE E AD C  D BE BF' 'We should get back to you within a week If the vulnerability is qTox specific' 'and accepted there should be a new release addressing the vulnerability within' 'a couple of weeks If we disagree with the vulnerability analysis we will' 'answer explaining our reasoning' 'If the vulnerability is related to a dependency of qTox we will follow the' 'disclosure policy of that project If a fix from the project isnt imminent and' 'its possible we will mitigate the issue in qTox
mapbox/mapbox-gl-native,,
clementine-player/Clementine,Build' 'active' '229777' 'all' 'active' '1275826' 'translations' 'active' '1390733,
r0x0r/pywebview,Mark stale issues and pull requests' 'active' '35208,SSuuppppoorrtteedd VVeerrssiioonnss' 'Versions lower than  are not supported' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x     ' '    ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you find a vulnerability in the pywebview code please get in touch via' 'romanflowrlcom Please do not report any vulnerabilities in nodemodules' 'dependencies of the pywebview website
LibreCAD/LibreCAD,Continuous build' 'active' '20305442,
pawelsalawa/sqlitestudio,Unit tests' 'active' '1023382' 'MacOSX release build' 'active' '1024114' 'Linux release build' 'active' '1184769' 'Windows 64-bit release build' 'active' '8957784' 'Windows 32-bit release build' 'active' '8959265' 'Sandbox/playground' 'active' '33694156' 'Update messages' 'active' '42304067' 'Remove old artifacts' 'active' '42673846,
mixxxdj/mixxx,Detect stale issues and pull request' 'active' '3063168' 'pre-commit' 'active' '3071113' 'Pull Request Labeler' 'active' '3081936' 'clazy' 'active' '3583062' 'build Mixxx' 'active' '3619877' 'Build' 'active' '3678850' 'nix-shell-build' 'active' '3817453' 'build-checks' 'active' '4260937' 'Changelog' 'active' '12844439,
pyqtgraph/pyqtgraph,main' 'active' '4459422' 'pypy' 'active' '28824364' 'Upload Python Package' 'active' '14044408,
Serial-Studio/Serial-Studio,CodeQL' 'active' '13504683' 'Deploy' 'active' '14377654,
KDAB/hotspot,.github/workflows/appimage.yml' 'active' '40053581' 'build appimage' 'active' '15405928' 'compile and test' 'active' '29005945' 'pre-commit' 'active' '36176044' 'unit tests' 'active' '18774576' 'test build instructions' 'active' '15404753,
Bitmessage/PyBitmessage,,
nodegui/svelte-nodegui,,
PrismLauncher/PrismLauncher,Build' 'active' '37709441' 'CodeQL Code Scanning' 'active' '40147731' 'Build Application' 'active' '37709442' 'Build Application and Make Release' 'active' '37709443' 'Publish to WinGet' 'active' '37709444,
nuttyartist/notes,macOS' 'active' '12835' 'Windows' 'active' '35755314' 'Linux' 'active' '35755315,
vaibhavpandeyvpz/apkstudio,pages-build-deployment' 'active' '28376264,
vooidzero/B23Downloader,,
mavlink/qgroundcontrol,Android 32-bit Release' 'active' '15849287' 'Android 64-bit Release' 'active' '15849288' 'Android build' 'active' '11880508' 'Android 32/64-bit Release' 'active' '14153499' 'Linux AppImage' 'active' '6881823' 'Build QGC and upload to release' 'active' '6386364' 'Linux - Compile and run unit tests' 'active' '8837494' 'Compile' ' Test and Release' 'active' '8839625' 'Linux Debug and Test' 'active' '9372073' 'Linux Release' 'active' '9372074' 'MacOS Release' 'active' '9372075' 'Windows Release' 'active' '9372698,
gqrx-sdr/gqrx,Build' 'active' '3913329' 'CI' 'active' '3755326' 'MSBuild' 'active' '43936964,
ColinDuquesnoy/QDarkStyleSheet,,
Snipaste/feedback,pages-build-deployment' 'active' '16552298,
eteran/edb-debugger,Build' 'active' '41721792,
f1xpl/openauto,,
srevinsaju/guiscrcpy,Linux' 'active' '108358' 'guiscrcpy Nightly Builds' 'active' '184322' 'Continuous' 'active' '1101177' 'pages-build-deployment' 'active' '16497983,
mkeeter/antimony,,
appleseedhq/appleseed,,
laserpants/qt-material-widgets,,
