author_repo,wf_contents,security_policy
facebook/react-native,Issue Needs Attention' 'active' '796826' 'On Issue Labeled' 'active' '6205649' 'Test Docker Android Image' 'active' '14017078' 'Mark stale issues and pull requests' 'active' '14213958' 'Apply version label to issue' 'active' '14805178' 'Run Danger on PR' 'active' '26441957' 'Automatic Rebase' 'active' '31998576' 'Label closed PR as merged and leave a comment' 'active' '41933631,Please do not open GitHub issues or pull requests  this makes the problem' 'immediately visible to everyone including malicious actors Security issues in' 'this open source project can be safely reported via the Meta Bug Bounty' 'program' 'httpswwwfacebookcomwhitehat' 'Metas security team will triage your report and determine whether or not is it' 'eligible for a bounty under our program
justjavac/free-programming-books-zh_CN,,
storybookjs/storybook,Unit tests' 'active' '14458' 'CLI tests' 'active' '14459' 'Puppeteer & A11y tests' 'active' '14461' 'Automention PRs' 'active' '14911' 'Dangerfile JS Pull' 'active' '14912' 'Dangerfile JS Pull' 'active' '127452' 'Trigger CircleCI workflow' 'active' '3911051' 'Danger JS' 'active' '7958226' 'Generate And Push Repros' 'active' '12422119' 'Handle Release Branches' 'active' '14886250' 'Export to linear' 'active' '15268250' 'Markdown Links Check' 'active' '22587517' 'Generate and push repros to the next branch' 'active' '31265784' 'Generate And Push Repros' 'disabled_manually' '31138867,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn       SSuuppppoorrtteedd' '   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability you can reach out to the maintainers directly on' 'Twitter httpstwittercomstorybookjs' 'When we fix a security issue we will post a security advisory on GithubNPM' 'describe the change in the release notes and also announce notify the' 'community on our Discord
enaqx/awesome-react,,
laurent22/joplin,Joplin Continuous Integration' 'active' '10244858' 'pages-build-deployment' 'active' '16394440' 'Close stale issues' 'active' '17582857' 'react-native-android-build-apk' 'active' '40245671' 'CLA Assistant' 'active' '43675336' 'GitHub Actions Demo' 'disabled_manually' '10217224,SSuuppppoorrtteedd VVeerrssiioonnss' 'Only the latest version is supported with security updates' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please contact support wwiitthh aa pprrooooff ooff ccoonncceepptt that shows the security' 'vulnerability Please do not contact us without this proof of concept as we' 'cannot fix anything without this' 'For general opinions on what makes an app more or less secure please use the' 'forum' 'BBoouunnttyy' 'We ddoo nnoott offer a bounty for discovering vulnerabilities please do not ask We' 'can however credit you and link to your website in the changelog and release' 'announcement
dkhamsing/open-source-ios-apps,Pull Request' 'active' '12048942' 'Ruby' 'active' '892058' 'Update Metadata' 'active' '12571765,
react-hook-form/react-hook-form,Unit Test / Lint' 'active' '604915' 'Package Size' 'active' '604916' 'E2E Test' 'active' '1270642' 'CodeQL' 'active' '2297537' 'Unit Test / Lint' 'active' '8209804' 'Package Size' 'active' '8209805' 'API Extrator' 'active' '17186044' 'README' 'active' '30207003' '.github/workflows/stale.yml' 'active' '36940367' 'Lock Issues' 'active' '36940663,SSuuppppoorrtteedd VVeerrssiioonnss' 'currently being supported with security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' '    
jondot/awesome-react-native,,
NervJS/taro,Node CI' 'active' '5212' 'Node CI' 'active' '208509' 'publish' 'active' '1129370' 'Deploy to Netlify' 'active' '1217233' 'Publish build/taro to GitHub and TCB' 'active' '1217520' 'Publish root to TCB' 'active' '1217521' 'Auto reviews' 'active' '1226931' 'pages-build-deployment' 'active' '16724128' 'Dependabot' 'active' '31589242' 'Sync Components types' 'active' '37135011,SSuuppppoorrtteedd VVeerrssiioonnss' 'Use this section to tell people about which versions of your project are' 'currently being supported with security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' '   Security fix for ReDoS' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'People are welcomed to report a vulnerability by sending an Email to' 'ttaarroojjddccoomm or ttaarrooddeevvjjddccoommAlso PR or Issues are welcomed too' 'Vulnerability will be fixed and publish in one or two weeks
jaredpalmer/formik,Unit Test' 'active' '23558' 'Release' 'active' '26584' 'CI' 'active' '166778' 'E2E Test' 'active' '2695137' 'Compressed Size' 'active' '2708969' 'CodeQL' 'active' '2796436' 'Close stale issues/prs' 'active' '3700765,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'xx   ' 'x   ' '   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Send a Twitter DM to jaredpalmer or an email to securityjaredpalmercom
